exact_address,price,size,rooms,floor,monthly_fee,price_per_sqm,has_elevator,has_balcony,latitude,longitude,main_neighborhood,sub_neighborhood,date,year,month,season,rooms_per_sqm,is_central,seasonal_price_trend,price_change_pct,monthly_price_change,location_avg_price_per_sqm,location_avg_price_per_sqm_sub,months_since_sale,predicted_ending_price
"Sorögatan 13, 1 tr",1700000.0,45.0,2.0,2.0,2864.0,37778.0,True,False,,,kista,central,2024-09-17 07:17:05.119757,2024,9,4,0.044444444444444446,0,5423264.851586489,,-0.36492890995260663,31429.782424413675,80164.38654110392,0,1617218.1666666663
"Ludvigsbergsgatan 15, 2 tr",6795000.0,81.0,3.0,2.0,3749.0,83889.0,True,True,,,södermalm,central,2024-09-17 07:17:05.119757,2024,9,4,0.037037037037037035,0,5423264.851586489,,-0.36492890995260663,103268.90042472865,80164.38654110392,0,7473529.999999999
Bjurholmsplan 23A,4795000.0,61.0,2.0,1.0,4817.0,78607.0,True,False,,,södermalm,sofo,2024-09-17 07:17:05.119757,2024,9,4,0.03278688524590164,0,5423264.851586489,,-0.36492890995260663,103268.90042472865,112250.60827250608,0,5975857.261904763
"Nordenskiöldsgatan 86, 2  tr",20000000.0,109.0,4.0,2.0,5445.0,183486.0,True,True,,,djurgården,central,2024-09-17 07:17:05.119757,2024,9,4,0.03669724770642202,0,5423264.851586489,,-0.36492890995260663,,80164.38654110392,0,8005604.523809523
Sandhamnsgatan 75B,7395000.0,82.0,3.0,1.0,6186.0,90183.0,True,False,,,gärdet,central,2024-09-17 07:17:05.119757,2024,9,4,0.036585365853658534,0,5423264.851586489,,-0.36492890995260663,107664.52810394221,80164.38654110392,0,7971733.087301586
Roslagsgatan 21A,5400000.0,54.0,2.0,2.0,2668.0,100000.0,False,False,,,vasastan,central,2024-09-17 07:17:05.119757,2024,9,4,0.037037037037037035,0,5423264.851586489,,-0.36492890995260663,116669.36752942408,80164.38654110392,0,6083585.476190477
Gamla Tyresövägen 351 C,7195000.0,74.0,3.0,3.0,4213.0,97230.0,False,True,,,enskede,enskededalen,2024-09-17 07:17:05.119757,2024,9,4,0.04054054054054054,0,5423264.851586489,,-0.36492890995260663,64148.959004078126,49572.64957264957,0,3961727.2222222225
Dalagatan 6,6895000.0,69.0,3.0,1.0,2606.0,99928.0,True,False,,,vasastan,norrmalm,2024-09-17 07:17:05.119757,2024,9,4,0.043478260869565216,0,5423264.851586489,,-0.36492890995260663,116669.36752942408,118632.47863247863,0,6760009.88095238
Rådmansgatan 11,13495000.0,109.0,4.0,1.0,3845.0,123807.0,True,True,,,östermalm,central,2024-09-17 07:17:05.119757,2024,9,4,0.03669724770642202,0,5423264.851586489,,-0.36492890995260663,132935.65588339852,80164.38654110392,0,12684531.785714287
Medaljonggatan 4B,2435000.0,34.0,1.0,3.0,3175.0,71618.0,True,False,,,älvsjö,central,2024-09-17 07:17:05.119757,2024,9,4,0.029411764705882353,0,5423264.851586489,,-0.36492890995260663,63748.30518920252,80164.38654110392,0,2088081.3690476194
