exact_address,price,size,rooms,floor,monthly_fee,price_per_sqm,has_elevator,has_balcony,latitude,longitude,main_neighborhood,sub_neighborhood,date,year,month,season,rooms_per_sqm,is_central,seasonal_price_trend,price_change_pct,monthly_price_change,location_avg_price_per_sqm,location_avg_price_per_sqm_sub,months_since_sale,predicted_ending_price
Runiusgatan 5,3250000.0,47.0,2.0,2.0,2019.0,69149.0,True,False,,,kungsholmen,fredhäll,2024-09-17 07:17:05.119757,2024,9,4,0.0425531914893617,0,5423264.851586489,,-0.36492890995260663,102559.572426767,87086.14232209738,0,4221699.314365079
Fastlagsvägen 49,3395000.0,53.0,2.0,2.0,4006.0,64057.0,False,False,,,telefonplan,midsommarkransen,2024-09-17 07:17:05.119757,2024,9,4,0.03773584905660377,0,5423264.851586489,,-0.36492890995260663,71463.50364963504,73855.93220338984,0,3310660.277777778
"Sankt Göransgatan 98, vån 4",5995000.0,67.0,3.0,4.0,3370.0,89478.0,True,True,,,kungsholmen fridhemsplan,central,2024-09-17 07:17:05.119757,2024,9,4,0.04477611940298507,0,5423264.851586489,,-0.36492890995260663,92395.6043956044,80164.38654110392,0,5855102.283549783
"Rutger Fuchsgatan 1, 5 tr",2975000.0,33.0,1.0,5.0,1906.0,90152.0,True,True,,,södermalm sofia,central,2024-09-17 07:17:05.119757,2024,9,4,0.030303030303030304,0,5423264.851586489,,-0.36492890995260663,99306.93069306931,80164.38654110392,0,3255846.6666666674
"Heleneborgsgatan 26, 3 tr",7750000.0,73.0,2.5,3.0,2921.0,106164.0,True,True,,,södermalm högalid,central,2024-09-17 07:17:05.119757,2024,9,4,0.03424657534246575,0,5423264.851586489,,-0.36492890995260663,109150.11914217634,80164.38654110392,0,7116621.825396825
"Lundagatan 39A, vindsvåning",9950000.0,73.0,3.0,2.0,4942.0,136301.0,False,False,,,södermalm högalid,central,2024-09-17 07:17:05.119757,2024,9,4,0.0410958904109589,0,5423264.851586489,,-0.36492890995260663,109150.11914217634,80164.38654110392,0,6770775.515873016
"Danderydsgatan 25, 2tr",12000000.0,102.0,4.0,2.0,5891.0,117647.0,True,True,,,östermalm,central,2024-09-17 07:17:05.119757,2024,9,4,0.0392156862745098,0,5423264.851586489,,-0.36492890995260663,132935.65588339852,80164.38654110392,0,12676920.476190476
Trollesundsvägen 26B,2395000.0,62.0,3.0,0.0,5765.0,38629.0,True,True,,,bandhagen,central,2024-09-17 07:17:05.119757,2024,9,4,0.04838709677419355,0,5423264.851586489,,-0.36492890995260663,41055.83392984968,80164.38654110392,0,2578061.1904761903
"Klubbacken 22, 1tr",2625000.0,44.0,2.0,1.0,2887.0,59659.0,True,True,,,hägersten,mälarhöjden,2024-09-17 07:17:05.119757,2024,9,4,0.045454545454545456,0,5423264.851586489,,-0.36492890995260663,61414.55557182604,54409.3567251462,0,2800911.646825397
Kungstensgatan 58,7395000.0,61.5,2.0,4.0,2727.0,120244.0,True,True,,,vasastan,central,2024-09-17 07:17:05.119757,2024,9,4,0.032520325203252036,0,5423264.851586489,,-0.36492890995260663,116669.36752942408,80164.38654110392,0,6779378.214285715
Vävar Johans Gata 28,6995000.0,97.0,4.0,4.0,6127.0,72113.0,True,True,,,hammarby sjöstad,central,2024-09-17 07:17:05.119757,2024,9,4,0.041237113402061855,0,5423264.851586489,,-0.36492890995260663,82007.06073183531,80164.38654110392,0,7609017.261904763
Skönviksvägen 283,2595000.0,54.0,2.0,0.0,4265.0,48056.0,False,True,,,enskede,central,2024-09-17 07:17:05.119757,2024,9,4,0.037037037037037035,0,5423264.851586489,,-0.36492890995260663,64148.959004078126,80164.38654110392,0,3116551.23015873
Falkholmsgränd 17 lgh 1501,2395000.0,117.5,5.0,5.0,8523.0,20383.0,True,True,,,skärholmen,central,2024-09-17 07:17:05.119757,2024,9,4,0.0425531914893617,0,5423264.851586489,,-0.36492890995260663,29849.578820697956,80164.38654110392,0,2652685.357142857
"Borgarfjordsgatan 21 B, våning 3",2300000.0,52.0,2.0,3.0,4147.0,44231.0,True,True,,,kista,central,2024-09-17 07:17:05.119757,2024,9,4,0.038461538461538464,0,5423264.851586489,,-0.36492890995260663,31429.782424413675,80164.38654110392,0,1692204.4444444445
Rorgängargatan 15a,4995000.0,66.0,2.0,9.0,4014.0,75682.0,True,True,,,hammarby sjöstad,central,2024-09-17 07:17:05.119757,2024,9,4,0.030303030303030304,0,5423264.851586489,,-0.36492890995260663,82007.06073183531,80164.38654110392,0,5284130.497835496
Fridhemsgatan 16,3250000.0,34.0,2.0,0.0,2682.0,95588.0,True,False,,,kungsholmen,central,2024-09-17 07:17:05.119757,2024,9,4,0.058823529411764705,0,5423264.851586489,,-0.36492890995260663,102559.572426767,80164.38654110392,0,3376184.7817460317
"Nioörtsvägen 28B, 2 tr",4995000.0,76.8,3.0,2.0,6097.0,65039.0,True,True,,,midsommarkransen,central,2024-09-17 07:17:05.119757,2024,9,4,0.0390625,0,5423264.851586489,,-0.36492890995260663,77740.05639655684,80164.38654110392,0,5450757.976190477
Tummelisas gata 3,2095000.0,36.0,1.5,1.0,3062.0,58194.0,True,False,,,bromma,annedal,2024-09-17 07:17:05.119757,2024,9,4,0.041666666666666664,0,5423264.851586489,,-0.36492890995260663,66144.2866365397,57048.75962360992,0,2504060.238095238
"Hildebergsvägen 2, 2tr",5995000.0,95.0,4.0,2.0,6489.0,63105.0,True,True,,,liljeholmskajen,central,2024-09-17 07:17:05.119757,2024,9,4,0.042105263157894736,0,5423264.851586489,,-0.36492890995260663,76032.09191759113,80164.38654110392,0,7186530.03968254
"Hövdingagatan 5A, vån 4 av 4",3995000.0,56.0,3.0,4.0,4120.0,71339.0,False,True,,,aspudden,central,2024-09-17 07:17:05.119757,2024,9,4,0.05357142857142857,0,5423264.851586489,,-0.36492890995260663,83398.761890382,80164.38654110392,0,4324905.833333334
Fatburs brunnsgata 31,4750000.0,66.5,3.0,1.0,4564.0,71429.0,True,False,,,södermalm maria,central,2024-09-17 07:17:05.119757,2024,9,4,0.045112781954887216,0,5423264.851586489,,-0.36492890995260663,101836.73469387754,80164.38654110392,0,6303035.476190478
"Rutger Fuchsgatan 4A, ÖG, vån 4/4",2995000.0,30.0,1.0,4.0,1835.0,99833.0,False,False,,,södermalm,central,2024-09-17 07:17:05.119757,2024,9,4,0.03333333333333333,0,5423264.851586489,,-0.36492890995260663,103268.90042472865,80164.38654110392,0,3004529.9801587295
Brännkyrkagatan 54 B,6995000.0,70.0,2.0,1.0,3938.0,99929.0,True,True,,,stockholm,central,2024-09-17 07:17:05.119757,2024,9,4,0.02857142857142857,0,5423264.851586489,,-0.36492890995260663,109606.78248205555,80164.38654110392,0,6672983.015873015
Agnes Lagerstedts gata 12,3495000.0,70.0,3.0,4.0,5157.0,49929.0,True,False,,,fruängen,central,2024-09-17 07:17:05.119757,2024,9,4,0.04285714285714286,0,5423264.851586489,,-0.36492890995260663,49351.68417240131,80164.38654110392,0,3125348.293650793
"Tegelbruksvägen 8B, vån 2 av 3",3495000.0,57.0,2.0,2.0,2694.0,61316.0,False,False,,,midsommarkransen,central,2024-09-17 07:17:05.119757,2024,9,4,0.03508771929824561,0,5423264.851586489,,-0.36492890995260663,77740.05639655684,80164.38654110392,0,4211361.488095238
Majrovägen 15,1995000.0,34.0,2.0,1.0,3551.0,58676.0,True,False,,,enskede,gubbängen,2024-09-17 07:17:05.119757,2024,9,4,0.058823529411764705,0,5423264.851586489,,-0.36492890995260663,64148.959004078126,52359.05044510386,0,2476771.428571428
Östrandsvägen 78A,3395000.0,74.0,3.0,1.0,4511.0,45878.0,False,False,,,stureby,central,2024-09-17 07:17:05.119757,2024,9,4,0.04054054054054054,0,5423264.851586489,,-0.36492890995260663,62499.41383352872,80164.38654110392,0,3834754.6031746035
Fågeltorget 169,6995000.0,92.0,4.0,3.0,5421.0,76033.0,False,True,,,aspudden,central,2024-09-17 07:17:05.119757,2024,9,4,0.043478260869565216,0,5423264.851586489,,-0.36492890995260663,83398.761890382,80164.38654110392,0,7370102.380952381
Slätbaksvägen 6,2495000.0,44.5,2.0,1.0,2427.0,56067.0,False,True,,,årsta,central,2024-09-17 07:17:05.119757,2024,9,4,0.0449438202247191,0,5423264.851586489,,-0.36492890995260663,61515.02479240097,80164.38654110392,0,2870665.1587301586
Torsten Alms Gata 17,3995000.0,59.0,2.0,1.0,3000.0,67712.0,False,True,,,aspudden,central,2024-09-17 07:17:05.119757,2024,9,4,0.03389830508474576,0,5423264.851586489,,-0.36492890995260663,83398.761890382,80164.38654110392,0,4444686.904761905
Masugnsvägen 54,4795000.0,75.0,3.0,3.0,5475.0,63933.0,True,False,,,mariehäll,central,2024-09-17 07:17:05.119757,2024,9,4,0.04,0,5423264.851586489,,-0.36492890995260663,69978.61724875268,80164.38654110392,0,4595834.166666667
"Hornsgatan 150B, vån 4",4995000.0,60.5,2.5,4.0,2672.0,82562.0,True,False,,,södermalm,central,2024-09-17 07:17:05.119757,2024,9,4,0.04132231404958678,0,5423264.851586489,,-0.36492890995260663,103268.90042472865,80164.38654110392,0,6208634.642857143
Kolsnarsvägen 14,2995000.0,48.5,2.0,1.0,3930.0,61753.0,True,True,,,årsta,central,2024-09-17 07:17:05.119757,2024,9,4,0.041237113402061855,0,5423264.851586489,,-0.36492890995260663,61515.02479240097,80164.38654110392,0,2940200.8730158736
Mattvägen 3,4195000.0,72.0,3.0,5.0,5180.0,58264.0,True,True,,,bromma,riksby,2024-09-17 07:17:05.119757,2024,9,4,0.041666666666666664,0,5423264.851586489,,-0.36492890995260663,66144.2866365397,54042.55319148936,0,3969326.3888888885
"Bäckvägen 127, vån 3/3",1995000.0,30.0,1.0,3.0,3004.0,66500.0,False,True,,,hägerstensåsen,central,2024-09-17 07:17:05.119757,2024,9,4,0.03333333333333333,0,5423264.851586489,,-0.36492890995260663,60283.436669619136,80164.38654110392,0,2187134.880952381
Synålsvägen 3,3950000.0,75.0,3.0,1.0,4479.0,52667.0,False,False,,,riksby,central,2024-09-17 07:17:05.119757,2024,9,4,0.04,0,5423264.851586489,,-0.36492890995260663,56337.09981167608,80164.38654110392,0,3592620.7936507934
"Hägerstensvägen 209, vån 3/3",1895000.0,23.0,1.0,1.0,2786.0,82391.0,False,True,,,aspudden,örnsberg,2024-09-17 07:17:05.119757,2024,9,4,0.043478260869565216,0,5423264.851586489,,-0.36492890995260663,83398.761890382,74714.28571428571,0,2503448.7301587295
Surtsögatan 4,1895000.0,45.0,2.0,4.0,2836.0,42111.0,True,False,,,kista,central,2024-09-17 07:17:05.119757,2024,9,4,0.044444444444444446,0,5423264.851586489,,-0.36492890995260663,31429.782424413675,80164.38654110392,0,1617218.1666666663
Kärrtorpsvägen 7,2995000.0,59.0,2.0,1.0,3994.0,50763.0,True,True,,,kärrtorp,central,2024-09-17 07:17:05.119757,2024,9,4,0.03389830508474576,0,5423264.851586489,,-0.36492890995260663,58345.75260804769,80164.38654110392,0,3172759.0873015868
"Sveavägen 137, 2 tr",2995000.0,41.0,2.0,2.0,1746.0,73049.0,True,False,,,vasastan,central,2024-09-17 07:17:05.119757,2024,9,4,0.04878048780487805,0,5423264.851586489,,-0.36492890995260663,116669.36752942408,80164.38654110392,0,4632523.57142857
Hunnebergsvägen 16,2795000.0,37.0,2.0,3.0,2618.0,75541.0,False,True,,,bromma,traneberg,2024-09-17 07:17:05.119757,2024,9,4,0.05405405405405406,0,5423264.851586489,,-0.36492890995260663,66144.2866365397,69532.03024682551,0,2632511.011904762
"Sysslomansgatan 8, 3 tr",3950000.0,41.0,1.5,3.0,2265.0,96341.0,True,True,,,kungsholmen,central,2024-09-17 07:17:05.119757,2024,9,4,0.036585365853658534,0,5423264.851586489,,-0.36492890995260663,102559.572426767,80164.38654110392,0,4072845.189047618
"Siljansvägen 18, 3 tr",2995000.0,55.0,2.0,3.0,4719.0,54455.0,False,True,,,årsta,central,2024-09-17 07:17:05.119757,2024,9,4,0.03636363636363636,0,5423264.851586489,,-0.36492890995260663,61515.02479240097,80164.38654110392,0,3109467.7380952374
"Vikingagatan 5, 2 tr",4850000.0,49.0,2.0,2.0,3821.0,98980.0,False,False,,,stockholm,central,2024-09-17 07:17:05.119757,2024,9,4,0.04081632653061224,0,5423264.851586489,,-0.36492890995260663,109606.78248205555,80164.38654110392,0,5214248.825396825
"Sandhamnsgatan 1, 3 tr",4250000.0,47.0,2.0,3.0,3007.0,90426.0,True,True,,,gärdet,central,2024-09-17 07:17:05.119757,2024,9,4,0.0425531914893617,0,5423264.851586489,,-0.36492890995260663,107664.52810394221,80164.38654110392,0,4648967.788214286
Wollmar Yxkullsgatan 48D,4350000.0,48.0,2.5,0.0,3439.0,90625.0,True,False,,,högalid,central,2024-09-17 07:17:05.119757,2024,9,4,0.052083333333333336,0,5423264.851586489,,-0.36492890995260663,109189.9441340782,80164.38654110392,0,5072073.253968255
Garagevägen 24,2995000.0,41.0,2.0,5.0,2614.0,73049.0,True,True,,,blåsut,central,2024-09-17 07:17:05.119757,2024,9,4,0.04878048780487805,0,5423264.851586489,,-0.36492890995260663,64572.054653261155,80164.38654110392,0,2678575.3968253974
Nybrogatan 57A,10500000.0,87.0,3.0,0.0,4641.0,120690.0,True,False,,,östermalm,central,2024-09-17 07:17:05.119757,2024,9,4,0.034482758620689655,0,5423264.851586489,,-0.36492890995260663,132935.65588339852,80164.38654110392,0,11563655.714285716
,,,,,,,False,False,,,unknown,unknown,2024-09-17 07:17:05.119757,2024,9,4,,0,5423264.851586489,,-0.36492890995260663,,,0,4171498.690476191
,,,,,,,False,False,,,unknown,unknown,2024-09-17 07:17:05.119757,2024,9,4,,0,5423264.851586489,,-0.36492890995260663,,,0,4171498.690476191
,,,,,,,False,False,,,unknown,unknown,2024-09-17 07:17:05.119757,2024,9,4,,0,5423264.851586489,,-0.36492890995260663,,,0,4171498.690476191
,,,,,,,False,False,,,unknown,unknown,2024-09-17 07:17:05.119757,2024,9,4,,0,5423264.851586489,,-0.36492890995260663,,,0,4171498.690476191
,,,,,,,False,False,,,unknown,unknown,2024-09-17 07:17:05.119757,2024,9,4,,0,5423264.851586489,,-0.36492890995260663,,,0,4171498.690476191
"Essinge Brogata 12, 2 tr",2725000.0,35.0,1.5,2.0,2616.0,77857.0,True,False,,,kungsholmen,lilla essingen,2024-09-17 07:17:05.119757,2024,9,4,0.04285714285714286,0,5423264.851586489,,-0.36492890995260663,102559.572426767,,0,3548486.4285714272
Franzéngatan 80,7695000.0,88.0,3.0,5.0,4846.0,87443.0,True,True,,,hornsbergs strand,västra kungsholmen,2024-09-17 07:17:05.119757,2024,9,4,0.03409090909090909,0,5423264.851586489,,-0.36492890995260663,89057.6441102757,89410.34897713597,0,7650601.607142856
Klubbacken 28,2750000.0,50.0,2.0,1.0,3139.0,55000.0,True,True,,,hägersten,mälarhöjden,2024-09-17 07:17:05.119757,2024,9,4,0.04,0,5423264.851586489,,-0.36492890995260663,61414.55557182604,54409.3567251462,0,2893511.468253968
"Grubbens Gata 7, 3 tr",8550000.0,81.0,3.0,3.0,3613.0,105556.0,True,True,,,kungsholmen,central,2024-09-17 07:17:05.119757,2024,9,4,0.037037037037037035,0,5423264.851586489,,-0.36492890995260663,102559.572426767,80164.38654110392,0,7321017.5
"Polhemsgatan 18, 4 tr",4495000.0,45.0,1.5,4.0,2924.0,99889.0,True,True,,,kungsholmen,nedre kungsholmen,2024-09-17 07:17:05.119757,2024,9,4,0.03333333333333333,0,5423264.851586489,,-0.36492890995260663,102559.572426767,107647.95144157815,0,4155640.028333334
"Alströmergatan 32 F, 2 tr",3995000.0,45.0,2.0,2.0,2699.0,88778.0,False,False,,,kungholmen,central,2024-09-17 07:17:05.119757,2024,9,4,0.044444444444444446,0,5423264.851586489,,-0.36492890995260663,100655.02183406113,80164.38654110392,0,4284060.069999999
Fyrskeppsvägen 124,3650000.0,69.0,3.0,1.0,6045.0,52899.0,False,True,,,kärrtorp,central,2024-09-17 07:17:05.119757,2024,9,4,0.043478260869565216,0,5423264.851586489,,-0.36492890995260663,58345.75260804769,80164.38654110392,0,3771707.817460316
Bergsunds Strand 5,2350000.0,23.0,1.0,4.0,1956.0,102174.0,True,True,,,hornstull,södermalm,2024-09-17 07:17:05.119757,2024,9,4,0.043478260869565216,0,5423264.851586489,,-0.36492890995260663,100745.50783739008,106103.28638497653,0,2677460.595238095
Kungsholms kyrkoplan 6,3395000.0,34.0,1.0,2.0,2273.0,99853.0,True,False,,,stockholm,central,2024-09-17 07:17:05.119757,2024,9,4,0.029411764705882353,0,5423264.851586489,,-0.36492890995260663,109606.78248205555,80164.38654110392,0,3561550.1785714286
Birger Jarlsgatan 104 F,3995000.0,39.0,2.0,1.0,3251.0,102436.0,True,False,,,vasastan,östermalm,2024-09-17 07:17:05.119757,2024,9,4,0.05128205128205128,0,5423264.851586489,,-0.36492890995260663,116669.36752942408,106251.37655091404,0,4428275.833333332
Renstiernas gata 48,3250000.0,36.0,2.0,3.0,1562.0,90278.0,True,False,,,södermalm,sofo,2024-09-17 07:17:05.119757,2024,9,4,0.05555555555555555,0,5423264.851586489,,-0.36492890995260663,103268.90042472865,112250.60827250608,0,4081371.4285714286
"Lustgårdsgatan 1, 7tr",5695000.0,63.0,3.0,7.0,4457.0,90397.0,True,True,,,hornsbergs strand,västra kungsholmen,2024-09-17 07:17:05.119757,2024,9,4,0.047619047619047616,0,5423264.851586489,,-0.36492890995260663,89057.6441102757,89410.34897713597,0,5462211.3708513705
"Henriksdalsallén 31, 4tr",4650000.0,66.5,3.0,4.0,4334.0,69925.0,True,True,,,hammarby sjöstad,central,2024-09-17 07:17:05.119757,2024,9,4,0.045112781954887216,0,5423264.851586489,,-0.36492890995260663,82007.06073183531,80164.38654110392,0,5685762.2041847035
Upplandsgatan 47,6995000.0,55.0,2.0,4.0,2604.0,127182.0,True,True,,,vasastan,norrmalm,2024-09-17 07:17:05.119757,2024,9,4,0.03636363636363636,0,5423264.851586489,,-0.36492890995260663,116669.36752942408,118632.47863247863,0,6331079.404761905
"Lindhagensgatan 145, 5 tr",4595000.0,49.0,2.0,5.0,3074.0,93776.0,True,True,,,hornsbergs strand,central,2024-09-17 07:17:05.119757,2024,9,4,0.04081632653061224,0,5423264.851586489,,-0.36492890995260663,89057.6441102757,80164.38654110392,0,4310838.74415873
Fredhällsgatan 9,3150000.0,39.0,1.5,0.0,2723.0,80769.0,False,False,,,kungsholmen,fredhäll,2024-09-17 07:17:05.119757,2024,9,4,0.038461538461538464,0,5423264.851586489,,-0.36492890995260663,102559.572426767,87086.14232209738,0,3572853.111471861
"Tegnérgatan 57A, 3 tr",2950000.0,26.0,1.0,3.0,1796.0,113462.0,True,False,,,vasastan,norrmalm,2024-09-17 07:17:05.119757,2024,9,4,0.038461538461538464,0,5423264.851586489,,-0.36492890995260663,116669.36752942408,118632.47863247863,0,2928201.726190476
Brännkyrkagatan 42,6995000.0,70.0,3.0,1.0,6109.0,99929.0,True,False,,,maria,central,2024-09-17 07:17:05.119757,2024,9,4,0.04285714285714286,0,5423264.851586489,,-0.36492890995260663,123130.43478260869,80164.38654110392,0,7029904.642857142
Finngrundsvägen 5,5995000.0,87.0,4.0,4.0,5102.0,68908.0,True,True,,,blåsut,central,2024-09-17 07:17:05.119757,2024,9,4,0.04597701149425287,0,5423264.851586489,,-0.36492890995260663,64572.054653261155,80164.38654110392,0,4811867.817460317
Kommendörsgatan 40,12500000.0,83.0,3.0,4.0,4267.0,150602.0,True,True,,,östermalm,central,2024-09-17 07:17:05.119757,2024,9,4,0.03614457831325301,0,5423264.851586489,,-0.36492890995260663,132935.65588339852,80164.38654110392,0,9887813.134920634
"Vanadisplan 8, 1 tr",7975000.0,75.0,2.5,1.0,2208.0,106333.0,True,False,,,vasastan,central,2024-09-17 07:17:05.119757,2024,9,4,0.03333333333333333,0,5423264.851586489,,-0.36492890995260663,116669.36752942408,80164.38654110392,0,7437982.5
"Damastvägen 6A, 2 tr",2195000.0,41.0,2.0,2.0,2667.0,53537.0,False,True,,,bromma,riksby,2024-09-17 07:17:05.119757,2024,9,4,0.04878048780487805,0,5423264.851586489,,-0.36492890995260663,66144.2866365397,54042.55319148936,0,2604057.53968254
Kungsholms strand 139,3795000.0,45.0,1.5,0.0,2679.0,84333.0,True,False,,,kungsholmen,central,2024-09-17 07:17:05.119757,2024,9,4,0.03333333333333333,0,5423264.851586489,,-0.36492890995260663,102559.572426767,80164.38654110392,0,4361193.903960317
"Lidnersgatan 12A, vån 3",3995000.0,46.5,2.0,3.0,3941.0,85914.0,True,True,,,kristineberg,central,2024-09-17 07:17:05.119757,2024,9,4,0.043010752688172046,0,5423264.851586489,,-0.36492890995260663,90161.29032258065,80164.38654110392,0,3861861.4425714286
"Sjöfartsgatan 17, pl9",4095000.0,56.0,2.0,9.0,4209.0,73125.0,True,True,,,hammarby sjöstad,central,2024-09-17 07:17:05.119757,2024,9,4,0.03571428571428571,0,5423264.851586489,,-0.36492890995260663,82007.06073183531,80164.38654110392,0,4119914.6428571437
"Erik Dahlbergsgatan 51, 1tr",5195000.0,57.0,2.0,1.0,3149.0,91140.0,True,True,,,östermalm,gärdet,2024-09-17 07:17:05.119757,2024,9,4,0.03508771929824561,0,5423264.851586489,,-0.36492890995260663,132935.65588339852,106846.47302904565,0,7425022.5
"Repslagargatan 18, 3 tr",5450000.0,64.5,2.0,3.0,4340.0,84496.0,True,True,,,södermalm,central,2024-09-17 07:17:05.119757,2024,9,4,0.031007751937984496,0,5423264.851586489,,-0.36492890995260663,103268.90042472865,80164.38654110392,0,5959853.095238095
LM Ericssons väg 24,5495000.0,70.0,3.0,0.0,3528.0,78500.0,True,False,,,telefonplan,central,2024-09-17 07:17:05.119757,2024,9,4,0.04285714285714286,0,5423264.851586489,,-0.36492890995260663,71463.50364963504,80164.38654110392,0,4464215.674603174
Birger Jarlsgatan 111C,5995000.0,57.0,2.0,1.0,3105.0,105175.0,False,True,,,vasastan,sibirien,2024-09-17 07:17:05.119757,2024,9,4,0.03508771929824561,0,5423264.851586489,,-0.36492890995260663,116669.36752942408,103615.0512214342,0,6668519.345238095
"Malgomajvägen 10, 2tr",2895000.0,57.0,2.0,2.0,3859.0,50789.0,False,True,,,årsta,central,2024-09-17 07:17:05.119757,2024,9,4,0.03508771929824561,0,5423264.851586489,,-0.36492890995260663,61515.02479240097,80164.38654110392,0,3190158.0952380956
"Bråviksvägen 4, 2tr",2495000.0,56.0,3.0,2.0,5600.0,44554.0,False,True,,,årsta,central,2024-09-17 07:17:05.119757,2024,9,4,0.05357142857142857,0,5423264.851586489,,-0.36492890995260663,61515.02479240097,80164.38654110392,0,3139903.611111111
"Adlerbethsgatan 17, 3tr",2995000.0,34.0,2.0,3.0,2259.0,88088.0,False,False,,,kungsholmen,fredhäll,2024-09-17 07:17:05.119757,2024,9,4,0.058823529411764705,0,5423264.851586489,,-0.36492890995260663,102559.572426767,87086.14232209738,0,3360055.01984127
Torsten Alms gata 33,5995000.0,86.0,4.0,2.0,7080.0,69709.0,False,True,,,aspudden,central,2024-09-17 07:17:05.119757,2024,9,4,0.046511627906976744,0,5423264.851586489,,-0.36492890995260663,83398.761890382,80164.38654110392,0,6900102.499999999
Lundagatan 44B,4250000.0,47.0,2.5,2.0,2341.0,90426.0,True,False,,,södermalm,skinnarviksberget,2024-09-17 07:17:05.119757,2024,9,4,0.05319148936170213,0,5423264.851586489,,-0.36492890995260663,103268.90042472865,,0,4833758.749999999
Spikskogatan 14,2895000.0,52.0,2.0,1.0,3696.0,55673.0,True,True,,,älvsjöstaden,central,2024-09-17 07:17:05.119757,2024,9,4,0.038461538461538464,0,5423264.851586489,,-0.36492890995260663,55137.61467889908,80164.38654110392,0,2882410.0396825396
Sandhamnsgatan 13,5795000.0,65.0,3.0,5.0,5352.0,89154.0,True,True,,,östermalm,gärdet,2024-09-17 07:17:05.119757,2024,9,4,0.046153846153846156,0,5423264.851586489,,-0.36492890995260663,132935.65588339852,106846.47302904565,0,7237183.968253967
Bondegatan 24,2595000.0,25.0,1.0,5.0,1813.0,103800.0,True,False,,,södermalm,central,2024-09-17 07:17:05.119757,2024,9,4,0.04,0,5423264.851586489,,-0.36492890995260663,103268.90042472865,80164.38654110392,0,2838777.1428571427
"Vitalisvägen 11, 2tr",3195000.0,40.0,1.5,2.0,2573.0,79875.0,False,False,,,kungsholmen,fredhäll,2024-09-17 07:17:05.119757,2024,9,4,0.0375,0,5423264.851586489,,-0.36492890995260663,102559.572426767,87086.14232209738,0,3602142.833694083
Beckombergavägen 215,2995000.0,63.0,2.0,4.0,4773.0,47540.0,True,True,,,bromma,beckomberga,2024-09-17 07:17:05.119757,2024,9,4,0.031746031746031744,0,5423264.851586489,,-0.36492890995260663,66144.2866365397,46833.91003460208,0,3638762.61904762
Brunnsgränd 3,6850000.0,68.0,2.0,0.0,4738.0,100735.0,False,False,,,gamla stan,central,2024-09-17 07:17:05.119757,2024,9,4,0.029411764705882353,0,5423264.851586489,,-0.36492890995260663,137804.8780487805,80164.38654110392,0,6809648.095238095
"Folkungagatan 56, 2 tr.",3995000.0,46.5,2.0,2.0,1215.0,85914.0,True,False,,,södermalm,central,2024-09-17 07:17:05.119757,2024,9,4,0.043010752688172046,0,5423264.851586489,,-0.36492890995260663,103268.90042472865,80164.38654110392,0,4737162.551785713
"Renstiernas Gata 25, 2tr",5850000.0,56.0,2.0,2.0,2622.0,104464.0,False,False,,,södermalm,sofo,2024-09-17 07:17:05.119757,2024,9,4,0.03571428571428571,0,5423264.851586489,,-0.36492890995260663,103268.90042472865,112250.60827250608,0,5617840.012626263
"Kronobergsgatan 16, 2 tr",4475000.0,48.0,2.0,2.0,2073.0,93229.0,True,True,,,kungsholmen fridhemsplan,central,2024-09-17 07:17:05.119757,2024,9,4,0.041666666666666664,0,5423264.851586489,,-0.36492890995260663,92395.6043956044,80164.38654110392,0,4306026.799714285
"Hägerstensvägen 183, 1tr",2295000.0,37.0,2.0,1.0,2015.0,62027.0,False,False,,,aspudden,örnsberg,2024-09-17 07:17:05.119757,2024,9,4,0.05405405405405406,0,5423264.851586489,,-0.36492890995260663,83398.761890382,74714.28571428571,0,3187228.769841269
Kyrkogårdsvägen 47,2950000.0,41.0,2.0,3.0,2893.0,71951.0,False,False,,,enskededalen,central,2024-09-17 07:17:05.119757,2024,9,4,0.04878048780487805,0,5423264.851586489,,-0.36492890995260663,71519.75683890577,80164.38654110392,0,2924896.329365079
"Sveavägen 126, 6tr",3995000.0,39.0,2.0,6.0,2532.0,102436.0,True,True,,,vasastan,central,2024-09-17 07:17:05.119757,2024,9,4,0.05128205128205128,0,5423264.851586489,,-0.36492890995260663,116669.36752942408,80164.38654110392,0,4505989.880952381
Nathorstvägen 4,2795000.0,45.0,2.0,1.0,3790.0,62111.0,False,True,,,hammarbyhöjden,johanneshov,2024-09-17 07:17:05.119757,2024,9,4,0.044444444444444446,0,5423264.851586489,,-0.36492890995260663,66977.5,65280.89887640449,0,2998355.119047619
Sickla Kanalgata 13 C,3895000.0,46.0,2.0,1.0,3934.0,84674.0,True,True,,,hammarby sjöstad,sickla udde,2024-09-17 07:17:05.119757,2024,9,4,0.043478260869565216,0,5423264.851586489,,-0.36492890995260663,82007.06073183531,,0,3610970.515873015
"Vanadisvägen 24, 2tr",4195000.0,39.0,2.0,2.0,1030.0,107564.0,True,False,,,vasastan,central,2024-09-17 07:17:05.119757,2024,9,4,0.05128205128205128,0,5423264.851586489,,-0.36492890995260663,116669.36752942408,80164.38654110392,0,4770034.166666665
Nynäsvägen 332,2495000.0,45.0,1.0,2.0,2756.0,55444.0,False,False,,,gamla enskede,central,2024-09-17 07:17:05.119757,2024,9,4,0.022222222222222223,0,5423264.851586489,,-0.36492890995260663,106913.8418079096,80164.38654110392,0,4686550.135119048
