link,exact_address,size,rooms,monthly_fee,location,has_elevator,has_balcony,listing_price,end_price,price_change_percentage,price_per_sqm,date
https://www.hemnet.se/salda/lagenhet-4rum-skondals-centrum-stockholms-kommun-kubbegatan-49-6761622978531179860,Kubbegatan 49,89.5,4.0,5914,"Sköndals Centrum, Stockholms kommun",False,False,4008771,4570000,14,51061,2024-09-16
"https://www.hemnet.se/salda/lagenhet-3rum-kungsholmen-stockholms-kommun-alstromergatan-32r,-1,5-tr-5520797710425455096",Alströmergatan 32R,65.0,3.0,3780,"Kungsholmen, Stockholms kommun",False,False,6214953,6650000,7,102308,2024-09-16
https://www.hemnet.se/salda/lagenhet-1rum-smedslatten-stockholms-kommun-herman-ygbergs-vag-4-65516221783527693,Herman Ygbergs väg 4,32.0,1.0,3078,"Smedslätten, Stockholms kommun",True,False,2252475,2275000,1,71094,2024-09-16
https://www.hemnet.se/salda/villa-8rum-solhem-stockholms-kommun-solhemsvagen-53-61158633493261461,Solhemsvägen 53,153.0,8.0,934,"Solhem, Stockholms kommun",False,False,10000000,10000000,0,,2024-09-16
"https://www.hemnet.se/salda/lagenhet-4rum-hammarby-sjostad-stockholms-kommun-virkesvagen-9g,-pl3-8524831796157737304",Virkesvägen 9g,96.5,4.0,5525,"Hammarby Sjöstad, Stockholms kommun",True,True,7500000,7800000,4,80829,2024-09-16
"https://www.hemnet.se/salda/lagenhet-2,5rum-vasastan-birkastan-stockholms-kommun-norrbackagatan-26a-8102625701771716944",Norrbackagatan 26A,70.0,2.5,3390,"Vasastan - Birkastan, Stockholms kommun",True,True,7000000,7350000,5,105000,2024-09-16
https://www.hemnet.se/salda/lagenhet-3rum-ostermalm-gardet-stockholms-kommun-sandelsgatan-38-7657928113757423533,Sandelsgatan 38,61.0,3.0,4445,"Östermalm - Gärdet, Stockholms kommun",False,False,5750000,5750000,0,94262,2024-09-16
https://www.hemnet.se/salda/lagenhet-2rum-vasastan-stockholms-kommun-falugatan-14-7016971211872766294,Falugatan 14,49.0,2.0,3255,"Vasastan, Stockholms kommun",False,False,4500000,5175000,15,105612,2024-09-16
"https://www.hemnet.se/salda/lagenhet-3rum-hammarbyhojden-stockholms-kommun-wahlbergsgatan-7,-3-tr-5442984579061270088",Wahlbergsgatan 7,53.0,3.0,4256,"Hammarbyhöjden, Stockholms kommun",False,True,3990384,4150000,4,78302,2024-09-16
https://www.hemnet.se/salda/lagenhet-1rum-vasastan-stockholms-kommun-luntmakargatan-74-4816756560336668137,Luntmakargatan 74,19.0,1.0,1140,"Vasastan, Stockholms kommun",True,False,2550000,2550000,0,134211,2024-09-16
https://www.hemnet.se/salda/lagenhet-4rum-enskede-stockholms-kommun-dalgrand-8-4065146392240032413,Dalgränd 8,103.0,4.0,3868,"Enskede, Stockholms kommun",False,True,4634615,4820000,4,46796,2024-09-16
https://www.hemnet.se/salda/radhus-7rum-hasselby-gard-stockholms-kommun-astrakangatan-193-3783515356704345727,Astrakangatan 193,129.0,7.0,347,"Hässelby Gård, Stockholms kommun",False,False,3971698,4210000,6,,2024-09-16
"https://www.hemnet.se/salda/lagenhet-3rum-stureby-enskede-stockholms-kommun-skonviksvagen-296,-2-tr-2662022859360160829",Skönviksvägen 296,60.0,3.0,4519,"Stureby - Enskede, Stockholms kommun",False,True,3004901,3065000,2,51083,2024-09-16
https://www.hemnet.se/salda/lagenhet-1rum-johanneshov-stockholms-kommun-burspraksvagen-2-2532565299850275744,Burspråksvägen 2,35.0,1.0,2647,"Johanneshov, Stockholms kommun",False,False,2302752,2510000,9,71714,2024-09-16
"https://www.hemnet.se/salda/lagenhet-3,5rum-norrmalm-vasastan-stockholms-kommun-kammakargatan-50-2095368933419539249",Kammakargatan 50,80.0,3.5,7471,"Norrmalm - Vasastan, Stockholms kommun",True,True,10000000,10700000,7,133750,2024-09-16
https://www.hemnet.se/salda/lagenhet-1rum-akalla-stockholms-kommun-pargasgatan-6-1759494182850892037,Pargasgatan 6,44.0,1.0,3162,"Akalla, Stockholms kommun",False,False,1490384,1550000,4,35227,2024-09-16
"https://www.hemnet.se/salda/lagenhet-1rum-kungsholmen-stockholms-kommun-sysslomansgatan-8,-7-tr-1590366260325579230",Sysslomansgatan 8,26.0,1.0,1509,"Kungsholmen, Stockholms kommun",True,True,2888349,2975000,3,114423,2024-09-16
"https://www.hemnet.se/salda/lagenhet-2rum-arsta-stockholms-kommun-tamnarvagen-20,-2-tr-1528063383868266843",Tämnarvägen 20,46.0,2.0,2768,"Årsta, Stockholms kommun",True,True,2479338,3000000,21,65217,2024-09-16
https://www.hemnet.se/salda/lagenhet-1rum-kungsholmen-nedre-kungsholmen-stockholms-kommun-kungsholmsgatan-9-346294978128539933,Kungsholmsgatan 9,33.0,1.0,3448,"Kungsholmen/ Nedre Kungsholmen, Stockholms kommun",True,False,2846534,2875000,1,87121,2024-09-16
https://www.hemnet.se/salda/lagenhet-2rum-enskededalen-stockholms-kommun-bersagrand-8-9072588932478038407,Bersågränd 8,64.0,2.0,2980,"Enskededalen, Stockholms kommun",True,True,2990990,3320000,11,51875,2024-09-15
https://www.hemnet.se/salda/radhus-5rum-svedmyra-stockholms-kommun-varmbolsvagen-16-8979209971453770866,Värmbolsvägen 16,120.0,5.0,5071,"Svedmyra, Stockholms kommun",False,False,7980769,8300000,4,69167,2024-09-15
"https://www.hemnet.se/salda/lagenhet-2rum-kungsholmen-norr-malarstrand-stockholms-kommun-john-ericssonsgatan-7,-4tr-8361493924111743197",John Ericssonsgatan 7,40.0,2.0,2609,"Kungsholmen - Norr Mälarstrand, Stockholms kommun",True,False,3990990,4430000,11,110750,2024-09-15
https://www.hemnet.se/salda/lagenhet-3rum-malarhojden-stockholms-kommun-batangsvagen-8d-1693089864061372963,Båtängsvägen 8D,66.0,3.0,5021,"Mälarhöjden, Stockholms kommun",False,False,5500000,5500000,0,83333,2024-09-15
https://www.hemnet.se/salda/lagenhet-2rum-hornstull-stockholms-kommun-hogalidsgatan-11-5635995996611824090,Högalidsgatan 11,41.0,2.0,2258,"Hornstull, Stockholms kommun",False,True,4000000,5000000,25,121951,2024-09-15
