link,exact_address,price,size,rooms,floor,monthly_fee,price_per_sqm,location,has_elevator,has_balcony,latitude,longitude
https://www.hemnet.se/bostad/lagenhet-2rum-sodermalm-hornstull-stockholms-kommun-heleneborgsgatan-25b-21408963,Heleneborgsgatan 25B,5575000,56.0,2.0,4,3325,99554,"Södermalm - Hornstull, Stockholms kommun",False,True,,
"https://www.hemnet.se/bostad/lagenhet-2rum-kista-stockholms-kommun-sorogatan-13,-1-tr-20310836",Sorögatan 13,1700000,45.0,2.0,2,2864,37778,"Kista, Stockholms kommun",True,False,,
https://www.hemnet.se/bostad/lagenhet-1rum-kungsholmen-stora-essingen-stockholms-kommun-flottbrovagen-25-21409952,Flottbrovägen 25,2495000,33.0,1.0,1,1869,75606,"Kungsholmen- Stora Essingen, Stockholms kommun",False,False,,
https://www.hemnet.se/bostad/lagenhet-3rum-gardet-stockholms-kommun-smedsbacksgatan-7-21409946,Smedsbacksgatan 7,8495000,77.0,3.0,8,4833,110325,"Gärdet, Stockholms kommun",True,True,,
"https://www.hemnet.se/bostad/lagenhet-1rum-vasastan-sibirien-stockholms-kommun-roslagsgatan-41,-3tr-21410063",Roslagsgatan 41,3650000,34.0,1.0,3,2521,107353,"Vasastan - Sibirien, Stockholms kommun",False,False,,
https://www.hemnet.se/bostad/lagenhet-2rum-ostermalm-stockholms-kommun-nybrogatan-85-21410070,Nybrogatan 85,5950000,44.0,2.0,2,2144,135227,"Östermalm, Stockholms kommun",False,False,,
https://www.hemnet.se/bostad/lagenhet-3rum-kungsholmen-stockholms-kommun-svarvargatan-7-21410050,Svarvargatan 7,8950000,93.0,3.0,1,5191,96237,"Kungsholmen, Stockholms kommun",True,False,,
"https://www.hemnet.se/bostad/lagenhet-2rum-kungsholmen-kungsholms-strand-stockholms-kommun-kronobergsgatan-28,-2tr-21410080",Kronobergsgatan 28,6500000,65.0,2.0,2,4370,100000,"Kungsholmen - Kungsholms strand, Stockholms kommun",True,True,,
"https://www.hemnet.se/bostad/lagenhet-1,5rum-vasastan-stockholms-kommun-radmansgatan-75-21410087",Rådmansgatan 75,3795000,35.0,1.5,6,3171,108429,"Vasastan, Stockholms kommun",True,False,,
"https://www.hemnet.se/bostad/lagenhet-2rum-vasastan-roda-bergen-stockholms-kommun-torsgatan-74,-3tr-21410075",Torsgatan 74,4650000,52.0,2.0,3,4437,89423,"Vasastan - Röda Bergen, Stockholms kommun",True,False,,
https://www.hemnet.se/bostad/lagenhet-2rum-gardet-stockholms-kommun-smedsbacksgatan-18-21410153,Smedsbacksgatan 18,3195000,33.0,2.0,5,2431,96818,"Gärdet, Stockholms kommun",False,False,,
https://www.hemnet.se/bostad/lagenhet-2rum-sodermalm-stockholms-kommun-kapellgrand-6-21410193,Kapellgränd 6,9000000,67.0,2.0,3,4348,134328,"Södermalm, Stockholms kommun",True,True,,
https://www.hemnet.se/bostad/lagenhet-3rum-ostermalm-stockholms-kommun-floragatan-12-21410212,Floragatan 12,15750000,88.0,3.0,5,5358,178977,"Östermalm, Stockholms kommun",True,True,,
https://www.hemnet.se/bostad/lagenhet-4rum-sodermalm-stockholms-kommun-ringvagen-41a-21400656,Ringvägen 41A,7450000,86.0,4.0,1,4119,86628,"Södermalm, Stockholms kommun",True,True,,
https://www.hemnet.se/bostad/lagenhet-2rum-ostermalm-stockholms-kommun-wittstocksgatan-28-21410265,Wittstocksgatan 28,6950000,58.0,2.0,3,1175,119828,"Östermalm, Stockholms kommun",True,False,,
https://www.hemnet.se/bostad/lagenhet-3rum-vasastan-stockholms-kommun-hagagatan-18-21410052,Hagagatan 18,7950000,70.0,3.0,3,5916,113571,"Vasastan, Stockholms kommun",False,True,,
