link,exact_address,listing_price,size,rooms,floor,monthly_fee,price_per_sqm,location,has_elevator,has_balcony,latitude,longitude,date,main_neighborhood,sub_neighborhood,year,month,season,rooms_per_sqm,is_central,months_since_sale,log_size,log_price_per_sqm,log_monthly_fee,location_avg_price_per_sqm,location_avg_price_per_sqm_sub,predicted_price,price_delta,abs_price_delta
"https://www.hemnet.se/bostad/lagenhet-2,5rum-bromma-mariehall-stockholms-kommun-alpvagen-8-21355203",Alpvägen 8,3195000,62.0,2.5,2,4705.0,51532.25806451613,"Bromma - Mariehäll, Stockholms kommun",True,True,,,2024-08-31 11:26:14.718597,bromma,mariehäll,2024,8,3,0.04032258064516129,0,0.5584756898817346,4.143134726391533,10.849982665881214,0,59633.26547636321,59519.80709788689,3478751.2,8.881103286384977,8.881103286384977
https://www.hemnet.se/bostad/lagenhet-3rum-johanneshov-stockholms-kommun-skulptorvagen-14-21359112,Skulptörvägen 14,4495000,79.0,3.0,1,5336.0,56898.73417721519,"Johanneshov, Stockholms kommun",True,True,,,2024-08-21 11:26:14.718597,johanneshov,central,2024,8,3,0.0379746835443038,0,0.8869908015768725,4.382026634673881,10.949045948349822,0,63522.9665529336,76758.71351259395,4420567.5,-1.6558954393770857,1.6558954393770857
https://www.hemnet.se/bostad/lagenhet-1rum-spanga-bromsten-stockholms-kommun-bygardesvagen-4-21359152,Bygärdesvägen 4,1295000,28.0,1.0,2,2003.0,46250.0,"Spånga - Bromsten, Stockholms kommun",False,False,,,2024-08-29 11:26:14.718597,spånga,bromsten,2024,8,3,0.03571428571428571,0,0.6241787122207622,3.367295829986474,10.74183836432845,0,36070.44463898207,37581.98429463012,1633799.2,26.162104247104246,26.162104247104246
https://www.hemnet.se/bostad/lagenhet-2rum-abrahamsberg-stockholms-kommun-arkitektvagen-85-21377444,Arkitektvägen 85,2850000,48.0,2.0,1,3571.0,59375.0,"Abrahamsberg, Stockholms kommun",False,True,,,2024-08-20 11:26:14.718597,abrahamsberg,central,2024,8,3,0.041666666666666664,0,0.9198423127463863,3.8918202981106265,10.991645383300378,0,55663.65050771222,76758.71351259395,2850548.0,0.019228070175438598,0.019228070175438598
https://www.hemnet.se/bostad/lagenhet-3rum-fruangen-stockholms-kommun-eva-bonniers-gata-9-21378300,Eva bonniers gata 9,3495000,72.0,3.0,3,4160.0,48541.666666666664,"Fruängen, Stockholms kommun",False,True,,,2024-08-28 11:26:14.718597,fruängen,central,2024,8,3,0.041666666666666664,0,0.657030223390276,4.290459441148391,10.790198415280166,0,47997.573193740456,76758.71351259395,3658506.5,4.67829756795422,4.67829756795422
"https://www.hemnet.se/bostad/lagenhet-3rum-vallingby-centrum-stockholms-kommun-vittangigatan-51,-2,5-tr-21381744",Vittangigatan 51,2495000,70.0,3.0,3,5678.0,35642.857142857145,"Vällingby  Centrum, Stockholms kommun",False,False,,,2024-08-29 11:26:14.718597,vällingby  centrum,central,2024,8,3,0.04285714285714286,1,0.6241787122207622,4.2626798770413155,10.481332100837056,0,,76758.71351259395,2536935.5,1.6807815631262526,1.6807815631262526
https://www.hemnet.se/bostad/lagenhet-3rum-hagsatra-stockholms-kommun-lillhagsvagen-18-21372436,Lillhagsvägen 18,2100000,69.0,3.0,3,6314.0,30434.782608695652,"Hagsätra, Stockholms kommun",True,True,,,2024-09-07 11:26:14.718597,hagsätra,central,2024,9,4,0.043478260869565216,0,0.328515111695138,4.248495242049359,10.323374254699464,0,30239.409599468196,76758.71351259395,2167936.5,3.2350714285714286,3.2350714285714286
https://www.hemnet.se/bostad/lagenhet-3rum-vasastan-norrmalm-stockholms-kommun-dalagatan-6-21386242,Dalagatan 6,6895000,69.0,3.0,1,2606.0,99927.53623188406,"Vasastan - Norrmalm, Stockholms kommun",True,False,,,2024-08-24 11:26:14.718597,vasastan,norrmalm,2024,8,3,0.043478260869565216,0,0.7884362680683311,4.248495242049359,11.512210571813839,0,110199.03490104647,111098.08485370789,7550688.0,9.509615663524293,9.509615663524293
https://www.hemnet.se/bostad/lagenhet-2rum-ostermalm-stockholms-kommun-brahegatan-27-21387265,Brahegatan 27,5500000,48.0,2.0,1,1768.0,114583.33333333333,"Östermalm, Stockholms kommun",True,False,,,2024-08-27 11:26:14.718597,östermalm,central,2024,8,3,0.041666666666666664,0,0.6898817345597897,3.8918202981106265,11.649066366529453,0,124571.30769854224,76758.71351259395,5634436.5,2.4443,2.4443
https://www.hemnet.se/bostad/lagenhet-2rum-skondal-stockholms-kommun-perstorpsvagen-108-21388088,Perstorpsvägen 108,2195000,35.0,2.0,5,2328.0,62714.28571428572,"Sköndal, Stockholms kommun",True,True,,,2024-09-13 11:26:14.718597,sköndal,central,2024,9,4,0.05714285714285714,0,0.1314060446780552,3.58351893845611,11.046360488205165,0,42292.13454601073,76758.71351259395,2637538.5,20.161207289293852,20.161207289293852
