exact_address,price,size,rooms,floor,monthly_fee,price_per_sqm,has_elevator,has_balcony,latitude,longitude,date,year,month,season,months_since_sale,location_avg_price_per_sqm,rooms_per_sqm,is_central,main_neighborhood,sub_neighborhood,predicted_ending_price
"Årgångsgatan 7, 1 tr!",3895000.0,55.0,2.0,1.0,4231.0,70818.0,True,True,,,2024-09-16 20:19:27.487654,2024,9,4,0,77381.6495851635,0.03636363636363636,0,liljeholmskajen,central,4297051.5
Artemisgatan 55,3995000.0,47.0,2.0,1.0,3255.0,85000.0,False,True,,,2024-09-16 20:19:27.487654,2024,9,4,0,81364.11889596604,0.0425531914893617,0,hjorthagen,central,3683366.2
Gransätragränd 2,2595000.0,89.5,4.0,1.0,5804.0,28994.0,False,True,,,2024-09-16 20:19:27.487654,2024,9,4,0,35491.55908639523,0.0446927374301676,0,sätra,central,2878445.8
Radiusbacken 39,3295000.0,44.0,2.0,10.0,3373.0,74886.0,True,True,,,2024-09-16 20:19:27.487654,2024,9,4,0,78255.50660792952,0.045454545454545456,0,midsommarkransen,telefonplan,3441696.8
Ålgrytebacken 4,2995000.0,80.0,3.0,3.0,4076.0,37438.0,False,True,,,2024-09-16 20:19:27.487654,2024,9,4,0,49200.0,0.0375,0,bredäng,mälarhöjden,3577355.8
Kristallvägen 56,3095000.0,70.0,3.0,2.0,5074.0,44214.0,False,True,,,2024-09-16 20:19:27.487654,2024,9,4,0,,0.04285714285714286,0,hägersten,solberga,5902233.0
Beckomberga ängsväg 20,5250000.0,91.0,4.0,4.0,5931.0,57692.0,True,True,,,2024-09-16 20:19:27.487654,2024,9,4,0,49523.80952380953,0.04395604395604396,0,bromma,beckomberga,4590975.0
Lustgårdsgatan 14,6195000.0,86.0,4.0,0.0,3997.0,72035.0,True,True,,,2024-09-16 20:19:27.487654,2024,9,4,0,89410.34897713597,0.046511627906976744,0,hornsbergs strand,västra kungsholmen,7791935.0
"Svärdlångsvägen 47, 3tr",2895000.0,57.0,2.0,3.0,4451.0,50789.0,False,True,,,2024-09-16 20:19:27.487654,2024,9,4,0,61380.60846614972,0.03508771929824561,0,årsta,central,3244514.8
"Grusåsgränd 95, bv",2250000.0,64.0,2.0,1.0,3680.0,35156.0,True,True,,,2024-09-16 20:19:27.487654,2024,9,4,0,71519.75683890577,0.03125,0,enskededalen,central,3747766.2
"Lindvallsplan 10, 1tr",2495000.0,27.0,1.0,1.0,2185.0,92407.0,True,True,,,2024-09-16 20:19:27.487654,2024,9,4,0,110831.38173302109,0.037037037037037035,0,södermalm,hornstull,3326375.8
Valhallavägen 110,12495000.0,114.0,4.0,1.0,7291.0,109605.0,True,True,,,2024-09-16 20:19:27.487654,2024,9,4,0,139209.15807716866,0.03508771929824561,0,östermalm,central,15120942.0
Lundagatan 50,5500000.0,52.0,3.0,2.0,2653.0,105769.0,False,True,,,2024-09-16 20:19:27.487654,2024,9,4,0,118977.31364782137,0.057692307692307696,0,södermalm,högalid,6842201.0
Norrbackagatan 23,6495000.0,77.7,3.0,2.0,4788.0,83591.0,True,True,,,2024-09-16 20:19:27.487654,2024,9,4,0,117447.03452345825,0.03861003861003861,0,vasastan,central,9013441.0
"Svartågatan 80, 4tr",2500000.0,50.0,2.0,4.0,4084.0,50000.0,True,True,,,2024-09-16 20:19:27.487654,2024,9,4,0,58966.89497716895,0.04,0,bagarmossen,central,2898974.8
Nybohovsbacken 85,2795000.0,56.0,3.0,1.0,3561.0,49911.0,True,False,,,2024-09-16 20:19:27.487654,2024,9,4,0,73600.6753904601,0.05357142857142857,0,liljeholmen,central,4271368.0
Valhallavägen 164/Breitenfeldsgatan,11450000.0,100.0,3.0,1.0,4803.0,114500.0,True,False,,,2024-09-16 20:19:27.487654,2024,9,4,0,139209.15807716866,0.03,0,östermalm,central,13950005.0
Sköndalsvägen 112,3495000.0,92.5,4.0,5.0,5206.0,37784.0,True,True,,,2024-09-16 20:19:27.487654,2024,9,4,0,44658.53658536585,0.043243243243243246,0,sköndal,central,4240734.5
Karlsviksgatan 9,3795000.0,37.0,1.0,4.0,2214.0,102568.0,True,True,,,2024-09-16 20:19:27.487654,2024,9,4,0,106695.5643549364,0.02702702702702703,0,kungsholmen,central,3871108.5
Frejgatan 22,4350000.0,41.0,2.0,2.0,1621.0,106098.0,True,False,,,2024-09-16 20:19:27.487654,2024,9,4,0,117447.03452345825,0.04878048780487805,0,vasastan,central,4704068.5
"Folkungagatan 128, 2 tr",5995000.0,60.0,2.0,2.0,2879.0,99917.0,True,True,,,2024-09-16 20:19:27.487654,2024,9,4,0,106161.27474649927,0.03333333333333333,0,södermalm,katarina sofia,6241603.0
