Datum;Grupp;Serie;Värde
2015-02-24;Riksbankens styrräntor;Styrränta;-0,10
2015-02-25;Riksbankens styrräntor;Styrränta;-0,10
2015-02-26;Riksbankens styrräntor;Styrränta;-0,10
2015-02-27;Riksbankens styrräntor;Styrränta;-0,10
2015-03-02;Riksbankens styrräntor;Styrränta;-0,10
2015-03-03;Riksbankens styrräntor;Styrränta;-0,10
2015-03-04;Riksbankens styrräntor;Styrränta;-0,10
2015-03-05;Riksbankens styrräntor;Styrränta;-0,10
2015-03-06;Riksbankens styrräntor;Styrränta;-0,10
2015-03-09;Riksbankens styrräntor;Styrränta;-0,10
2015-03-10;Riksbankens styrräntor;Styrränta;-0,10
2015-03-11;Riksbankens styrräntor;Styrränta;-0,10
2015-03-12;Riksbankens styrräntor;Styrränta;-0,10
2015-03-13;Riksbankens styrräntor;Styrränta;-0,10
2015-03-16;Riksbankens styrräntor;Styrränta;-0,10
2015-03-17;Riksbankens styrräntor;Styrränta;-0,10
2015-03-18;Riksbankens styrräntor;Styrränta;-0,10
2015-03-19;Riksbankens styrräntor;Styrränta;-0,10
2015-03-20;Riksbankens styrräntor;Styrränta;-0,10
2015-03-23;Riksbankens styrräntor;Styrränta;-0,10
2015-03-24;Riksbankens styrräntor;Styrränta;-0,10
2015-03-25;Riksbankens styrräntor;Styrränta;-0,25
2015-03-26;Riksbankens styrräntor;Styrränta;-0,25
2015-03-27;Riksbankens styrräntor;Styrränta;-0,25
2015-03-30;Riksbankens styrräntor;Styrränta;-0,25
2015-03-31;Riksbankens styrräntor;Styrränta;-0,25
2015-04-01;Riksbankens styrräntor;Styrränta;-0,25
2015-04-02;Riksbankens styrräntor;Styrränta;-0,25
2015-04-07;Riksbankens styrräntor;Styrränta;-0,25
2015-04-08;Riksbankens styrräntor;Styrränta;-0,25
2015-04-09;Riksbankens styrräntor;Styrränta;-0,25
2015-04-10;Riksbankens styrräntor;Styrränta;-0,25
2015-04-13;Riksbankens styrräntor;Styrränta;-0,25
2015-04-14;Riksbankens styrräntor;Styrränta;-0,25
2015-04-15;Riksbankens styrräntor;Styrränta;-0,25
2015-04-16;Riksbankens styrräntor;Styrränta;-0,25
2015-04-17;Riksbankens styrräntor;Styrränta;-0,25
2015-04-20;Riksbankens styrräntor;Styrränta;-0,25
2015-04-21;Riksbankens styrräntor;Styrränta;-0,25
2015-04-22;Riksbankens styrräntor;Styrränta;-0,25
2015-04-23;Riksbankens styrräntor;Styrränta;-0,25
2015-04-24;Riksbankens styrräntor;Styrränta;-0,25
2015-04-27;Riksbankens styrräntor;Styrränta;-0,25
2015-04-28;Riksbankens styrräntor;Styrränta;-0,25
2015-04-29;Riksbankens styrräntor;Styrränta;-0,25
2015-04-30;Riksbankens styrräntor;Styrränta;-0,25
2015-05-04;Riksbankens styrräntor;Styrränta;-0,25
2015-05-05;Riksbankens styrräntor;Styrränta;-0,25
2015-05-06;Riksbankens styrräntor;Styrränta;-0,25
2015-05-07;Riksbankens styrräntor;Styrränta;-0,25
2015-05-08;Riksbankens styrräntor;Styrränta;-0,25
2015-05-11;Riksbankens styrräntor;Styrränta;-0,25
2015-05-12;Riksbankens styrräntor;Styrränta;-0,25
2015-05-13;Riksbankens styrräntor;Styrränta;-0,25
2015-05-15;Riksbankens styrräntor;Styrränta;-0,25
2015-05-18;Riksbankens styrräntor;Styrränta;-0,25
2015-05-19;Riksbankens styrräntor;Styrränta;-0,25
2015-05-20;Riksbankens styrräntor;Styrränta;-0,25
2015-05-21;Riksbankens styrräntor;Styrränta;-0,25
2015-05-22;Riksbankens styrräntor;Styrränta;-0,25
2015-05-25;Riksbankens styrräntor;Styrränta;-0,25
2015-05-26;Riksbankens styrräntor;Styrränta;-0,25
2015-05-27;Riksbankens styrräntor;Styrränta;-0,25
2015-05-28;Riksbankens styrräntor;Styrränta;-0,25
2015-05-29;Riksbankens styrräntor;Styrränta;-0,25
2015-06-01;Riksbankens styrräntor;Styrränta;-0,25
2015-06-02;Riksbankens styrräntor;Styrränta;-0,25
2015-06-03;Riksbankens styrräntor;Styrränta;-0,25
2015-06-04;Riksbankens styrräntor;Styrränta;-0,25
2015-06-05;Riksbankens styrräntor;Styrränta;-0,25
2015-06-08;Riksbankens styrräntor;Styrränta;-0,25
2015-06-09;Riksbankens styrräntor;Styrränta;-0,25
2015-06-10;Riksbankens styrräntor;Styrränta;-0,25
2015-06-11;Riksbankens styrräntor;Styrränta;-0,25
2015-06-12;Riksbankens styrräntor;Styrränta;-0,25
2015-06-15;Riksbankens styrräntor;Styrränta;-0,25
2015-06-16;Riksbankens styrräntor;Styrränta;-0,25
2015-06-17;Riksbankens styrräntor;Styrränta;-0,25
2015-06-18;Riksbankens styrräntor;Styrränta;-0,25
2015-06-22;Riksbankens styrräntor;Styrränta;-0,25
2015-06-23;Riksbankens styrräntor;Styrränta;-0,25
2015-06-24;Riksbankens styrräntor;Styrränta;-0,25
2015-06-25;Riksbankens styrräntor;Styrränta;-0,25
2015-06-26;Riksbankens styrräntor;Styrränta;-0,25
