link,exact_address,price,size,rooms,floor,monthly_fee,price_per_sqm,has_elevator,has_balcony,latitude,longitude,date,main_neighborhood,sub_neighborhood,year,month,season,rooms_per_sqm,is_central,seasonal_price_trend,price_change_pct,monthly_price_change,location_avg_price_per_sqm,location_avg_price_per_sqm_sub,months_since_sale,predicted_price
"https://www.hemnet.se/bostad/lagenhet-4rum-vasastan-stockholms-kommun-gavlegatan-4,-2-1-2-tr-21408668",Gävlegatan 4,10500000,96.0,4.0,3,4561.0,109375.0,True,True,,,2024-09-21 15:35:01.568814,vasastan,central,2024,9,4,0.041666666666666664,0,77524.84182798317,,0.9067489730567821,110199.03490104647,76758.71351259395,0.0657030223390276,10505259.209146826
"https://www.hemnet.se/bostad/lagenhet-1,5rum-gardet-ostermalm-stockholms-kommun-osthammarsgatan-70b-21410680",Östhammarsgatan 70B,3250000,35.0,1.5,2,2610.0,92857.14285714286,True,True,,,2024-08-25 15:35:01.568814,gärdet,östermalm,2024,8,3,0.04285714285714286,0,77036.65097520345,,-0.46946677415226534,101969.7935693269,103022.47110913806,0.9526938239159001,3276688.0287023806
https://www.hemnet.se/bostad/lagenhet-3rum-mariehall-stockholms-kommun-masugnsvagen-86-20548297,Masugnsvägen 86,5795000,79.5,3.0,3,4797.0,72893.0817610063,True,True,,,2024-09-13 15:35:01.568814,mariehäll,central,2024,9,4,0.03773584905660377,0,77524.84182798317,,0.9067489730567821,67403.12664332917,76758.71351259395,0.328515111695138,5817862.251392855
"https://www.hemnet.se/bostad/lagenhet-2rum-spanga-bromstensstaden-stockholms-kommun-akare-engstroms-vag-5,-2-tr-lgh-065-21274981",Åkare Engströms Väg 5,2150000,43.0,2.0,3,2662.0,50000.0,True,False,,,2024-09-07 15:35:01.568814,spånga,bromstensstaden,2024,9,4,0.046511627906976744,0,77524.84182798317,,0.9067489730567821,36070.44463898207,56666.666666666664,0.5256241787122208,1981830.4770238101
https://www.hemnet.se/bostad/lagenhet-3rum-gardet-stockholms-kommun-sandhamnsgatan-75b-21286901,Sandhamnsgatan 75B,7395000,82.0,3.0,1,6186.0,90182.9268292683,True,False,,,2024-09-03 15:35:01.568814,gärdet,central,2024,9,4,0.036585365853658534,0,77524.84182798317,,0.9067489730567821,101969.7935693269,76758.71351259395,0.657030223390276,7518451.813849207
https://www.hemnet.se/bostad/lagenhet-3rum-hasselby-strand-stockholms-kommun-maltesholmsvagen-147-21323735,Maltesholmsvägen 147,2950000,79.0,3.0,12,5437.0,37341.77215189873,True,True,,,2024-09-06 15:35:01.568814,hässelby strand,central,2024,9,4,0.0379746835443038,0,77524.84182798317,,0.9067489730567821,37619.78145962392,76758.71351259395,0.5584756898817346,2944028.9883809523
https://www.hemnet.se/bostad/lagenhet-4rum-spanga-tensta-stockholms-kommun-tenstavagen-48-21337304,Tenstavägen 48,1695000,96.0,4.0,1,8178.0,17656.25,False,True,,,2024-09-20 15:35:01.568814,spånga,tensta,2024,9,4,0.041666666666666664,0,77524.84182798317,,0.9067489730567821,36070.44463898207,19792.289941927327,0.09855453350854139,2233518.4509126986
https://www.hemnet.se/bostad/lagenhet-2rum-kista-stockholms-kommun-kastrupgatan-14-21337475,Kastrupgatan 14,1595000,45.0,2.0,1,3642.0,35444.444444444445,True,False,,,2024-09-02 15:35:01.568814,kista,central,2024,9,4,0.044444444444444446,0,77524.84182798317,,0.9067489730567821,30927.4714275923,76758.71351259395,0.6898817345597897,1588899.4420714285
https://www.hemnet.se/bostad/lagenhet-2rum-telefonplan-midsommarkransen-stockholms-kommun-backvagen-89-21339850,Bäckvägen 89,2695000,45.0,2.0,3,4145.0,59888.88888888889,False,False,,,2024-09-09 15:35:01.568814,telefonplan,midsommarkransen,2024,9,4,0.044444444444444446,0,77524.84182798317,,0.9067489730567821,65724.27095112111,71083.33871210349,0.45992115637319314,2645864.196345237
"https://www.hemnet.se/bostad/lagenhet-5rum-vasastan-stockholms-kommun-karlbergsvagen-8,-1-tr-21342167",Karlbergsvägen 8,19500000,163.0,5.0,1,0.0,119631.9018404908,True,False,,,2024-09-23 15:35:01.568814,vasastan,central,2024,9,4,0.03067484662576687,0,77524.84182798317,,0.9067489730567821,110199.03490104647,76758.71351259395,0.0,13361514.645988092
"https://www.hemnet.se/bostad/lagenhet-4rum-spanga-bromstensstaden-stockholms-kommun-skogangsvagen-32,-1-tr-lgh-092-21348003",Skogängsvägen 32,3845000,91.0,4.0,1,5349.0,42252.74725274725,True,True,,,2024-09-05 15:35:01.568814,spånga,bromstensstaden,2024,9,4,0.04395604395604396,0,77524.84182798317,,0.9067489730567821,36070.44463898207,56666.666666666664,0.5913272010512484,3864285.9955634936
https://www.hemnet.se/bostad/lagenhet-2rum-bromma-annedal-stockholms-kommun-dartanjangs-gata-46-21322590,Dartanjangs Gata 46,2350000,53.0,2.0,1,3961.0,44339.622641509435,True,False,,,2024-09-21 15:35:01.568814,bromma,annedal,2024,9,4,0.03773584905660377,0,77524.84182798317,,0.9067489730567821,59633.26547636321,52801.6786596094,0.0657030223390276,2443083.066829005
"https://www.hemnet.se/bostad/lagenhet-2,5rum-bromma-mariehall-stockholms-kommun-alpvagen-8-21355203",Alpvägen 8,3195000,62.0,2.5,2,4705.0,51532.25806451613,True,True,,,2024-08-25 15:35:01.568814,bromma,mariehäll,2024,8,3,0.04032258064516129,0,77036.65097520345,,-0.46946677415226534,59633.26547636321,59519.80709788689,0.9526938239159001,3239011.9874603176
