exact_address,price,size,rooms,monthly_fee,price_per_sqm,location,has_elevator,has_balcony,ending_price,price_change_percentage,ending_price_per_sqm
Badstrandsvägen 32,,35.0,1.5,2117,,"Kungsholmen - Stora Essingen, Stockholms kommun",False,False,2750000,+6 %,78571
Dalagatan 62,,62.0,3.0,4774,,"Vasastan, Stockholms kommun",True,False,7825000,+6 %,126210
"Erik Dahlbergsgatan 37, 1tr",,59.6,2.0,3132,,"Nedre Gärdet - Östermalm, Stockholms kommun",True,True,6250000,+4 %,104866
Aspsätravägen 9,,79.0,3.0,5050,,"Sätra, Stockholms kommun",False,True,1900000,-3 %,24051
Dansbanevägen 24,,60.0,3.0,3827,,"Telefonplan - Västberga, Stockholms kommun",False,True,3100000,+4 %,51667
Valhallavägen 69,,42.0,2.0,3028,,"Östermalm, Stockholms kommun",True,False,4300000,+9 %,102381
Norrbackagatan 27A,,38.0,1.0,1932,,"Vasastan, Stockholms kommun",True,True,4425000,+3 %,116447
Strindbergsgatan 41,,75.0,3.0,2184,,"Gärdet, Stockholms kommun",True,True,10000000,+12 %,133333
Frejgatan 4A,,46.0,2.0,3275,,"Östermalm - Vasastan, Stockholms kommun",True,False,4495000,+2 %,97717
Multrågatan 21,,87.8,4.0,7219,,"Vällingby - Råcksta, Stockholms kommun",True,True,2325000,-1 %,26481
"Gävlegatan 13, 2tr",,46.0,2.0,2705,,"Vasastan Rödabergen, Stockholms kommun",False,False,4600000,+3 %,100000
,,,,,,,False,False,,,
,,,,,,,False,False,,,
"Fågelhundsgatan 24, 3tr",,40.0,2.0,3358,,"Norra Djurgårdsstaden, Stockholms kommun",True,True,4020000,+6 %,100500
Maria bangata 2B,,36.0,2.0,1950,,"Södermalm, Stockholms kommun",True,True,4425000,+5 %,122917
Brahegatan 28,,79.0,3.0,4506,,"Östermalm, Stockholms kommun",True,True,10450000,+5 %,132278
Lyckebyvägen 20,,53.0,2.0,3204,,"Hammarbyhöjden, Stockholms kommun",False,True,3860000,+10 %,72830
Gustavslundsvägen 173,,92.6,3.0,4706,,"Bromma Alvik - Äppelviken, Stockholms kommun",False,True,7225000,+3 %,78024
"Edagränd 8, vån 2",,80.0,3.0,4927,,"Farsta, Stockholms kommun",True,True,3650000,+4 %,45625
Rissnavägen 51,,78.0,3.0,3979,,"Spånga - Bromsten, Stockholms kommun",False,True,2050000,+3 %,26282
"Sköldgatan 5, 7 tr",,85.0,3.0,4073,,"Södermalm, Stockholms kommun",True,True,7310000,+15 %,86000
Drottningholmsvägen 382,,39.0,1.5,2577,,"Riksby, Stockholms kommun",False,False,2345000,±0 %,60128
Svarvargatan 7,,110.0,3.0,4980,,"Fridhemsplan, Stockholms kommun",True,False,7700000,+3 %,70000
Upplandsgatan 54E,,75.0,2.0,4134,,"Vasastan, Stockholms kommun",False,False,8190000,+4 %,109200
Östhammarsgatan 75,,40.1,2.0,2685,,"Gärdet, Stockholms kommun",False,True,3500000,±0 %,87282
"Ringvägen 162, vån 5/5",,34.0,1.5,2652,,"Södermalm - Katarina Sofia, Stockholms kommun",True,True,4150000,+19 %,122059
Sorögatan 13,,45.0,2.0,2762,,"Kista, Stockholms kommun",True,False,1700000,+1 %,37778
Skånegatan 81,,44.0,2.0,1709,,"Södermalm, Stockholms kommun",True,True,5940000,+13 %,135000
Dellensvägen 29,,70.0,3.0,4354,,"Årsta, Stockholms kommun",False,False,3650000,-1 %,52143
Hammarbyterrassen 7,,138.0,6.0,8882,,"Hammarby Sjöstad, Stockholms kommun",True,True,14400000,+3 %,104348
Riksbyvägen 6,,68.0,3.0,4483,,"Riksby, Stockholms kommun",False,True,3925000,+9 %,57721
Larsbodavägen 82,,68.5,3.0,5842,,"Farsta, Stockholms kommun",True,True,2285000,+15 %,33358
Högalidsgatan 52C,,38.0,2.0,2801,,"Södermalm, Stockholms kommun",True,False,3850000,±0 %,101316
Ekfatsgatan 3,,46.0,2.0,2961,,"Liljeholmskajen, Stockholms kommun",True,True,4100000,+3 %,89130
Ringvägen 162,,41.0,1.5,3120,,"Södermalm, Stockholms kommun",True,False,3900000,+13 %,95122
Edsbergsgränd 8,,33.0,1.0,2264,,"Mälarhöjden, Stockholms kommun",False,True,2225000,+12 %,67424
"Valhallavägen 172, 2 tr",,40.0,1.5,1875,,"Östermalm, Stockholms kommun",True,True,4600000,+23 %,115000
Nynäsvägen 350A,,68.0,3.0,5927,,"Enskede - Gamla Enskede, Stockholms kommun",False,False,5000000,+2 %,73529
Oskarslundsbacken 26,,80.0,3.0,5632,,"Liljeholmskajen, Stockholms kommun",True,True,5800000,+2 %,72500
"Kronobergsgatan 20, 2tr",,18.0,1.0,1758,,"Kungsholmen, Stockholms kommun",True,False,2700000,-4 %,150000
"Radiusbacken 39, vån 4",,38.0,2.0,2913,,"Telefonplan, Stockholms kommun",True,True,2850000,+6 %,75000
Selmedalsringen 15,,127.0,5.0,7272,,"Hägerstenshamnen/Örnsberg, Stockholms kommun",True,True,8495000,±0 %,66890
Adolfsbergsvägen 12,,20.0,1.0,2410,,"Bromma / Mariehäll, Stockholms kommun",False,False,1670000,+5 %,83500
Hammarby Allé 173,,111.0,4.0,5493,,"Hammarby Sjöstad, Stockholms kommun",True,False,8325000,+4 %,75000
Wergelandsgatan 34,,70.0,3.0,4590,,"Blackeberg, Stockholms kommun",False,False,2995000,±0 %,42786
"Birger Jarlsgatan 107, 2 tr",,109.0,4.0,5434,,"Vasastan, Stockholms kommun",True,True,12000000,-8 %,110092
"Pilgrimsvägen 54B vån 0,5",,33.5,1.5,2281,,"Aspudden, Stockholms kommun",False,False,3100000,+4 %,92537
SPÅNGAVÄGEN 46,,56.0,2.0,5258,,"Bromma - Riksby, Stockholms kommun",False,False,2500000,+14 %,44643
Söderberga allé 12,,57.0,2.0,4450,,"Söderberga Allé, Stockholms kommun",True,True,2050000,+3 %,35965
Grindsgatan 33,,,3.5,3777,,"Södermalm, Stockholms kommun",True,True,9650000,-3 %,113529
Hanstavägen 92,,73.5,3.0,4466,,"Kista, Stockholms kommun",True,True,2830000,-4 %,38503
Tellusborgsvägen 72,,73.0,4.0,3923,,"Midsommarkransen, Stockholms kommun",False,True,5300000,+19 %,72603
Magnus Ladulåsgatan 33,,123.0,5.0,5308,,"Södermalm Maria, Stockholms kommun",True,True,9200000,+16 %,74797
"Sven Rinmans gata 4, 5tr",,77.0,3.0,4561,,"Kungsholmen, Stockholms kommun",True,True,9700000,+19 %,125974
Fridhemsgatan 12A,,43.0,2.0,2424,,"Kungsholmen, Stockholms kommun",True,False,4325000,+8 %,100581
Kungsklippan 11,,31.0,1.0,4045,,"Kungsholmen, Stockholms kommun",True,False,2600000,+18 %,83871
Drejargatan 7,,67.0,2.0,3461,,"Vasastan / Birkastan, Stockholms kommun",True,False,6970000,±0 %,104030
"Hildebergsvägen 24, vån 3",,51.5,2.0,3705,,"Liljeholmskajen, Stockholms kommun",True,True,3310000,+4 %,64272
Ahlsellvägen 22,,44.2,2.0,3723,,"Hjorthagen, Stockholms kommun",False,False,3125000,+4 %,70701
Sofielundsvägen 14,,53.3,2.0,3296,,"Blåsut, Stockholms kommun",False,True,3350000,+12 %,62852
"Tjärhovsgatan 19A, etagevind",,,4.0,3473,,"Södermalm Katarina, Stockholms kommun",False,True,11250000,+8 %,122283
Floragatan 20,,102.0,3.0,3399,,"Östermalm, Stockholms kommun",False,False,15725000,+6 %,154167
Grev Turegatan 59B,,87.0,3.0,4670,,"Östermalm, Stockholms kommun",True,True,12650000,+5 %,145402
,,,,,,,False,False,,,
,,,,,,,False,False,,,
Kvarnbacksvägen 84,,72.0,3.0,5045,,"Riksby, Stockholms kommun",False,True,3200000,+7 %,44444
Svarvargatan 10,,51.0,2.0,3567,,"Fridhemsplan, Stockholms kommun",True,True,5250000,+9 %,102941
Stora Kvinns väg 2,,65.0,2.0,3856,,"Älvsjö/långbro Park, Stockholms kommun",True,True,4425000,+20 %,68077
Kratsbodavägen 46A,,41.0,2.0,2497,,"Mariehäll, Stockholms kommun",True,True,3000000,+5 %,73171
Sigfridsvägen 1,,55.0,2.0,3651,,"Aspudden, Stockholms kommun",True,False,5400000,+21 %,98182
"Frimärksvägen 3, 2 tr",,38.0,2.0,3911,,"Enskede - Svedmyra, Stockholms kommun",True,False,2325000,+17 %,61184
"John Ericssonsgatan 14, 3tr",,42.0,2.0,1782,,"Kungsholmen, Stockholms kommun",True,True,4550000,+7 %,108333
"Sysslomansgatan 14, 7 tr",,114.0,4.5,1098,,"Nedre Kungsholmen, Stockholms kommun",True,True,11700000,+2 %,102632
Östrandsvägen 52,,70.0,3.0,4144,,"Stureby, Stockholms kommun",False,True,3465000,+5 %,49500
Sveavägen 131,,37.0,2.0,2610,,"Vasastan - Odenplan, Stockholms kommun",True,False,3650000,+4 %,98649
Ljusslingan 32,,76.0,3.0,5535,,"Hammarby sjöstad, Stockholms kommun",True,False,5600000,+4 %,73684
"Sandhamnsgatan 75, 4 tr",,60.0,2.0,5139,,"Gärdet, Stockholms kommun",True,True,8000000,±0 %,133333
Skeppargatan 25A,,63.0,2.0,3709,,"Östermalm, Stockholms kommun",True,True,8650000,+2 %,137302
Upplandsgatan 32,,27.5,1.0,1664,,"Vasastan - Odenplan, Stockholms kommun",True,True,3250000,+9 %,118182
"Ture Nermans Gränd 4, 2 tr",,26.0,2.0,607,,"Kungsholmen, Stockholms kommun",True,False,3350000,+12 %,128846
Bråviksvägen 22,,58.0,3.0,4379,,"Årsta, Stockholms kommun",False,True,3575000,+10 %,61638
Sågargatan 17,,72.0,3.0,6181,,"Södermalm - Katarina-Sofia, Stockholms kommun",True,True,9300000,+18 %,129167
Stjärnsundsgatan 13,,75.0,4.0,4754,,"Ormkärr, Stockholms kommun",False,True,2200000,+10 %,29333
"Ekshäradsgatan 91, 4tr",,59.5,2.0,3823,,"Farsta, Stockholms kommun",True,True,2260000,+3 %,37983
"Emmy rappes gata 3, vån 5",,66.0,2.0,5538,,"Vasastan / Hagastaden, Stockholms kommun",True,False,6587260,-6 %,99807
Virkesvägen 15,,34.0,1.0,2723,,"Hammarby Sjöstad, Stockholms kommun",False,False,2675000,+7 %,78676
"Johannesbergsgatan 4, 3/3tr",,32.0,1.0,3232,,"Midsommarkransen/Telefonplan, Stockholms kommun",False,True,2495000,±0 %,77969
"Karlskronavägen 6A, 4tr",,91.0,4.0,7250,,"Björkhagen, Stockholms kommun",True,True,5600000,+2 %,61538
"Horisontvägen 75, 3tr",,80.0,3.0,6644,,"Skarpnäck, Stockholms kommun",True,True,2550000,+7 %,31875
Beckomberga Allé 27,,83.5,3.0,5670,,"Bromma - Beckomberga, Stockholms kommun",True,False,4300000,-4 %,51497
Adolf fredriks kyrkogata 3,,81.0,3.0,4718,,"City - Vasastan/Norrmalm, Stockholms kommun",True,True,9450000,±0 %,116667
"Vindragarvägen 10, 3 tr",,81.5,3.0,5239,,"Reimersholme, Stockholms kommun",True,True,8750000,+9 %,107362
"Skrinvägen 1, 2,5tr",,62.0,3.0,4482,,"Gubbängen, Stockholms kommun",False,True,3100000,+17 %,50000
Borensvägen 1,,59.0,2.0,5209,,"Årsta, Stockholms kommun",True,True,3300000,+10 %,55932
Frejgatan 99,,50.0,2.0,2223,,"Vasastan, Stockholms kommun",False,False,5800000,+6 %,116000
Kampementsgatan 24,,87.5,3.0,4788,,"Gärdet - Östermalm, Stockholms kommun",True,True,7520000,+4 %,85943
Ivar Vidfamnes gata 7,,93.0,4.0,6132,,"Aspudden/Örnsberg, Stockholms kommun",False,True,6800000,+10 %,73118
"Kungsholmsgatan 9, 4tr",,23.0,1.0,2779,,"Kungsholmen, Stockholms kommun",True,True,2550000,+28 %,110870
"Drottninggatan 112C, 2 tr",,74.0,2.5,2553,,"Stockholm, Stockholms kommun",True,False,7650000,+1 %,103378
Sockenvägen 611,,96.0,4.0,7542,,"Bagarmossen, Stockholms kommun",True,True,5000000,+1 %,52083
Lidköpingsvägen 9,,54.0,2.0,4698,,"Hammarbyhöjden, Stockholms kommun",False,False,2950000,+6 %,54630
Arvodesvägen 11,,22.0,1.0,1535,,"Hägerstensåsen, Stockholms kommun",False,False,1425000,-5 %,64773
"Hägerstensvägen 154, vån 3 av 4",,53.0,2.0,3901,,"Aspudden, Stockholms kommun",False,True,4000000,+11 %,75472
"Rålambsvägen 69, 1tr",,69.0,3.0,5491,,"Fredhäll, Stockholms kommun",True,False,5600000,+4 %,81159
"Skebokvarnsvägen 306, 2 tr",,69.0,3.0,4412,,"Högdalen, Stockholms kommun",False,True,3000000,+21 %,43478
Ivar Vidfamnes gata 23,,26.0,1.0,2146,,"Aspudden/Örnsberg, Stockholms kommun",False,True,2350000,+18 %,90385
Responsgatan 12,,46.0,2.0,3485,,"Midsommarkransen/Telefonplan, Stockholms kommun",True,True,2850000,+2 %,61957
"Ola hanssonsgatan 5, 2tr",,68.0,3.0,4818,,"Kristineberg, Stockholms kommun",False,True,5500000,+6 %,80882
Radiusbacken 15,,114.0,4.0,7673,,"Midsommarkransen/Telefonplan, Stockholms kommun",True,False,8275000,+1 %,72588
Tyskbagargatan 3,,98.0,4.0,5692,,"Östermalm, Stockholms kommun",True,True,13550000,+5 %,138265
"Sturehillsvägen 6, Högst upp",,86.0,3.0,6101,,"Liljeholmskajen, Stockholms kommun",True,True,6250000,+1 %,72674
Kommendörsgatan 4,,41.0,2.0,2126,,"Östermalm, Stockholms kommun",True,False,6200000,+16 %,151220
Sibeliusgången 46,,45.4,2.0,3157,,"Akalla, Stockholms kommun",True,True,1400000,-3 %,30837
"Hövdingagatan 31, 1tr",,35.0,1.0,2684,,"Aspudden - Örnsberg, Stockholms kommun",False,True,2600000,+18 %,74286
"Hagaesplanaden 61, 3tr",,69.5,3.0,5606,,"Hagastaden Vasastan, Stockholms kommun",True,True,7000000,+4 %,100719
,,,,,,,False,False,,,
,,,,,,,False,False,,,
Tideliusgränd 9,,49.0,2.0,3098,,"Södermalm - Katarina Sofia, Stockholms kommun",True,True,4905000,+9 %,100102
Sulitelmavägen 16,,46.9,2.0,3521,,"Bromma - Traneberg, Stockholms kommun",False,True,3250000,+9 %,69296
"Rörstrandsgatan 25, 6 tr",,,3.0,3815,,"Vasastan - Birkastan, Stockholms kommun",True,True,14950000,±0 %,155729
Sankt Eriksgatan 75,,107.0,4.0,4482,,"Vasastan, Stockholms kommun",True,True,13075000,+5 %,122196
Lustgårdsgatan 4,,81.0,3.0,4639,,"Hornsbergs Strand, Stockholms kommun",True,True,6310000,±0 %,77901
Tavastgatan 31,,69.0,2.0,1864,,"Södermalm - Mariaberget, Stockholms kommun",True,False,7650000,+11 %,110870
"Karlbergsvägen 52, 1 tr",,166.0,5.0,15563,,"Vasastan Birkastan, Stockholms kommun",True,False,15600000,+6 %,93976
"Anders Reimers väg 6, 3tr",,44.0,2.0,3389,,"Södermalm - Reimersholme, Stockholms kommun",False,False,4575000,+10 %,103977
Sankt Göransgatan 70,,75.5,2.5,2081,,"Kungsholmen, Stockholms kommun",True,True,7600000,+9 %,100662
Vulcanusgatan 10,,37.0,2.0,2479,,"Vasastan/Atlas, Stockholms kommun",True,True,4575000,+2 %,123649
Kammakargatan 19,,36.0,2.0,3215,,"Norrmalm/City, Stockholms kommun",True,False,4325000,+8 %,120139
"Heliosgatan 16B, pl7",,93.0,3.0,5667,,"Hammarby Sjöstad, Stockholms kommun",True,True,7450000,+4 %,80108
Gävlegatan 32,,86.0,4.0,4760,,"Vasastan / Hagastaden, Stockholms kommun",True,True,9800000,-5 %,113953
Trollesundsvägen 19,,60.5,2.0,4880,,"Bandhagen / Högdalen, Stockholms kommun",False,True,2600000,+24 %,42975
"Wargentinsgatan 5 C, 5 tr",,34.0,1.0,2093,,"Kungsholmen, Stockholms kommun",True,True,4250000,+16 %,125000
"Hantverkargatan 35, 4 tr",,100.0,4.0,5743,,"Kungsholmen / Kungsholmstorg, Stockholms kommun",True,True,10325000,+8 %,103250
Docentbacken 9,,121.5,5.0,6527,,"Ekhagen, Stockholms kommun",True,True,7350000,-1 %,60494
Ivar Vidfamnes gata 11,,25.0,1.0,1934,,"Örnsberg/aspudden, Stockholms kommun",False,False,2155000,+14 %,86200
"Östgötagatan 87B, 4/5 tr",,38.5,2.0,1388,,"Södermalm, Stockholms kommun",True,False,4150000,+26 %,107792
Kungsholmsgatan 13,,34.5,1.0,3664,,"Kungsholmen, Stockholms kommun",True,False,3350000,-3 %,97101
Stamgatan 15,,37.0,1.5,3115,,"Östberga - Älvsjö, Stockholms kommun",False,True,1920000,+28 %,51892
Norrbackagatan 54,,73.0,3.0,4316,,"Vasastan, Stockholms kommun",True,True,9100000,+8 %,124658
Hökens gata 1,,60.0,2.0,1853,,"Södermalm Katarina, Stockholms kommun",True,False,5550000,+11 %,92500
Marieviksgatan 45,,91.0,4.0,4917,,"Liljeholmen, Stockholms kommun",True,True,6750000,+4 %,74176
Styresman Sanders väg 9,,88.5,3.0,4470,,"Bromma / Beckomberga, Stockholms kommun",True,True,5175000,+15 %,58475
Slätbaksvägen 17,,44.5,2.0,2556,,"Årsta, Stockholms kommun",False,True,2900000,+21 %,65169
"Oskarslundsbacken 39, 5 tr!",,55.0,2.0,4456,,"Liljeholmskajen, Stockholms kommun",True,True,4300000,+5 %,78182
"Holländargatan 9A, 6tr / Drottninggatan 88F",,35.0,2.0,2372,,"Vasastan - City/Norrmalm, Stockholms kommun",True,True,4750000,+6 %,135714
"Ronnebyvägen 13, 3tr",,57.0,2.0,3446,,"Björkhagen, Stockholms kommun",False,True,4350000,+19 %,76316
Heleneborgsgatan 36B,,136.0,3.0,5804,,"Hornstull, Stockholms kommun",True,True,11500000,+7 %,84559
Inteckningsvägen 13,,55.0,2.0,3639,,"Hägerstensåsen, Stockholms kommun",False,True,3115000,+8 %,56636
LM Ericssons väg 10B,,49.0,2.0,2470,,"Telefonplan, Stockholms kommun",True,True,4000000,,81633
Glädjevägen 6B,,50.0,2.0,4089,,"Hässelby Norra Villastad, Stockholms kommun",True,True,1800000,+1 %,36000
Sjöviksbacken 47,,91.0,4.0,6235,,"Liljeholmskajen, Stockholms kommun",True,True,6600000,+7 %,72527
Skulptörvägen 3,,54.0,2.0,3953,,"Gullmarsplan Johanneshov, Stockholms kommun",False,True,3050000,+2 %,56481
"Spångavägen 28, 2 tr.",,56.0,2.0,5258,,"Bromma / Riksby, Stockholms kommun",False,False,2245000,+13 %,40089
Stagneliusvägen 28,,34.5,2.0,2525,,"Fredhäll, Stockholms kommun",True,False,2930000,+9 %,84928
Paternostervägen 34,,59.0,2.0,3994,,"Hammarbyhöjden, Johanneshov, Stockholms kommun",False,True,3495000,+3 %,59237
Östermalmsgatan 67B,,18.0,1.0,1605,,"Östermalm, Stockholms kommun",False,False,2725000,+14 %,151389
Harpsundsvägen 121,,28.5,1.0,1999,,"Högdalen, Stockholms kommun",False,True,1875000,+7 %,65789
"Folkungagatan 76A, Ö.G",,60.0,2.0,4069,,"Södermalm SOFO, Stockholms kommun",False,True,6150000,+9 %,102500
Gävlegatan 3,,57.0,2.5,2568,,"Vasastan, Stockholms kommun",False,False,5910000,+4 %,103684
"Sjöbjörnsvägen 10, vån 2",,58.0,2.5,4015,,"Gröndal, Stockholms kommun",False,True,4300000,+1 %,74138
Rämensvägen 15,,56.5,2.0,4504,,"Årsta, Stockholms kommun",False,True,3200000,+14 %,56637
"Smedsbacksgatan 1, 2 tr",,38.0,2.0,2148,,"Gärdet, Stockholms kommun",True,True,3900000,+3 %,102632
"Malmgårdsvägen 12, 5 tr",,35.0,1.5,2626,,"Södermalm Sofia, Stockholms kommun",True,True,4170000,+19 %,119143
Grev Magnigatan 10,,39.0,1.0,2405,,"Östermalm, Stockholms kommun",False,False,5050000,+3 %,129487
Stramaljvägen 15,,51.0,2.0,3367,,"Bromma - Riksby, Stockholms kommun",False,True,3200000,+14 %,62745
"Stapelgatan 5, 2tr",,81.5,3.0,3945,,"Hammarby Sjöstad, Stockholms kommun",True,True,7325000,+6 %,89877
"Nybrogatan 20, 1tr",,28.0,1.0,0,,"Östermalm, Stockholms kommun",True,False,4300000,-7 %,153571
,,,,,,,False,False,,,
,,,,,,,False,False,,,
Skebokvarnsvägen 292,,26.0,1.0,1853,,"Högdalen, Stockholms kommun",False,False,1410000,+1 %,54231
"Borgarfjordsgatan 21A, våning 23",,75.0,3.0,5262,,"Kista, Stockholms kommun",True,True,3100000,±0 %,41333
Roslagsgatan 17,,108.0,4.0,2019,,"Vasastan, Stockholms kommun",True,True,12870000,+7 %,119167
Sigtunagatan 11,,102.0,4.0,6108,,"Vasastan, Stockholms kommun",True,True,14300000,+12 %,140196
Ståltrådsvägen 14,,65.0,3.0,4852,,"Bromma - Johannesfred, Stockholms kommun",False,True,3050000,-5 %,46923
Erstagatan 22,,35.2,2.0,2117,,"Sofia, Stockholms kommun",True,False,3850000,+10 %,109375
"Virkesvägen 5E, 7tr",,36.0,1.5,2202,,"Hammarby Sjöstad, Stockholms kommun",True,False,3750000,+7 %,104167
Önskehemsgatan 8,,65.0,3.0,4266,,"Bandhagen / Högdalen, Stockholms kommun",True,True,2800000,+12 %,43077
Östgötagatan 89,,41.0,2.0,2025,,"Södermalm / Skanstull, Stockholms kommun",True,False,4060000,+16 %,99024
Kabelverksgatan 24,,52.0,2.0,3803,,"Älvsjöstaden, Stockholms kommun",True,False,2850000,-2 %,54808
Götaforsvägen 28,,54.5,2.0,4523,,"Stureby, Stockholms kommun",False,True,2500000,+9 %,45872
Helgalunden 7,,38.0,2.0,4055,,"Södermalm, Stockholms kommun",False,False,4400000,+13 %,115789
Gästrikegatan 12,,105.0,4.0,5525,,"Vasastan, Stockholms kommun",True,True,11500000,+15 %,109524
Doktor Widerströms Gata 64,,57.0,2.0,3554,,"Hägersten, Stockholms kommun",False,True,2600000,+4 %,45614
Vattenledningsvägen 85,,43.0,2.0,3198,,"Midsommarkransen, Stockholms kommun",False,True,3350000,+20 %,77907
"Slätbaksvägen 38, 3tr",,42.3,2.0,2831,,"Årsta, Stockholms kommun",False,True,2850000,+14 %,67376
Katarina Bangata 55,,73.0,3.0,5079,,"Sofia, Stockholms kommun",True,True,9700000,+8 %,132877
"Sulvägen 69, 1 tr",,78.0,3.0,4908,,"Solberga - Älvsjö, Stockholms kommun",True,True,4250000,+9 %,54487
"Slätbaksvägen 6, 2 tr",,44.5,2.0,3063,,"Årsta, Stockholms kommun",False,True,3050000,+23 %,68539
Regeringsgatan 70B,,70.0,2.0,2853,,"Norrmalm, Stockholms kommun",True,True,6100000,-6 %,87143
Cedergrensvägen 4,,28.0,1.0,2525,,"Midsommarkransen/Telefonplan, Stockholms kommun",True,True,2650000,+6 %,94643
Odengatan 87,,23.0,1.0,1252,,"Vasastan, Stockholms kommun",False,False,2900000,±0 %,126087
Årsta skolgränd 6,,52.0,2.0,3648,,"Liljeholmen/Årstaberg, Stockholms kommun",True,False,3600000,+3 %,69231
"Levertinsgatan 3, 2,5tr",,75.0,3.0,4959,,"Kristineberg, Stockholms kommun",True,True,5495000,±0 %,73267
"Runiusgatan 7, 1,5 tr",,38.0,1.5,1703,,"Fredhäll, Stockholms kommun",True,False,2940000,+2 %,77368
Gyllenstiernsgatan 19,,20.0,1.0,1004,,"Östermalm, Stockholms kommun",True,False,2800000,+4 %,140000
Östermalmsgatan 31,,67.0,3.0,2931,,"Östermalm, Stockholms kommun",True,False,8750000,+3 %,130597
Agnes Lagerstedts gata 25,,45.0,2.0,3345,,"Fruängen, Stockholms kommun",True,True,2700000,-3 %,60000
Hjalmar Söderbergs väg 10,,53.0,2.0,3957,,"Västra Kungsholmen-Kristineberg, Stockholms kommun",True,True,5200000,+4 %,98113
"Essingeringen 90, 1 tr",,26.0,1.0,1742,,"Kungsholmen - Stora Essingen, Stockholms kommun",False,False,2500000,+9 %,96154
"Karlbergsvägen 80B, 3,5tr, ög.",,61.0,2.0,2900,,"Vasastan - Birkastan, Stockholms kommun",True,True,7250000,+4 %,118852
Ekhagsvägen 9,,72.0,3.0,5011,,"Ekhagen, Stockholms kommun",False,False,5100000,-2 %,70833
Sankt Eriksgatan 118,,52.0,2.0,3862,,"Vasastan, Stockholms kommun",False,False,5150000,+5 %,99038
Holländargatan 38,,97.0,4.0,5415,,"Vasastan, Stockholms kommun",True,True,10900000,-3 %,112371
Bergsunds strand 5,,61.0,2.0,4514,,"Södermalm, Stockholms kommun",True,True,6500000,+8 %,106557
"Furusundsgatan 7, 1tr",,69.0,3.0,5271,,"Gärdet / Östermalm, Stockholms kommun",True,True,6495000,±0 %,94130
"Bondegatan 60, 5tr",,82.0,3.0,4039,,"Södermalm, Stockholms kommun",True,True,8025000,+7 %,97866
Essinge Brogata 12,,75.5,3.0,5842,,"Lilla Essingen, Stockholms kommun",True,True,6100000,+2 %,80795
Gröndalsvägen 33,,53.0,2.0,3820,,"Gröndal, Stockholms kommun",True,True,5400000,,101887
"Folkskolegatan 20, 5 tr",,,4.0,5291,,"Södermalm, Stockholms kommun",True,True,10500000,+6 %,126506
Pettersbergsvägen 70,,67.0,3.0,4231,,"Mälarhöjden, Stockholms kommun",False,True,8475000,+9 %,126493
Hökmossevägen 24,,42.0,2.0,3403,,"Telefonplan/Hökmossen, Stockholms kommun",False,True,2520000,+3 %,60000
Västertorpsvägen 152,,76.0,3.0,4814,,"Mälarhöjden, Stockholms kommun",True,True,3500000,+10 %,46053
Solbergsvägen 47,,30.0,2.0,2395,,"Bromma Mariehäll, Stockholms kommun",False,False,1925000,-12 %,64167
Broddgränd 22,,58.0,2.0,3426,,"Västertorp, Stockholms kommun",False,True,2675000,+7 %,46121
"Karlbergsvägen 57, 4tr",,29.0,1.0,1471,,"Vasastan, Stockholms kommun",True,False,3475000,+9 %,119828
"Norrbackagatan 5, 2 tr",,104.0,4.0,4473,,"Vasastan - Birkastan, Stockholms kommun",True,True,12700000,+2 %,122115
"Kristinehovsgatan 5B, 3tr",,30.0,1.0,2113,,"Södermalm, Stockholms kommun",True,False,3200000,+19 %,106667
"Glavagatan 31, 3 tr",,62.0,2.0,4710,,"Farsta, Stockholms kommun",True,True,2600000,,41935
"Virkesvägen 7a, 3tr",,42.0,2.0,3842,,"Hammarby Sjöstad, Stockholms kommun",True,True,3600000,+9 %,85714
,,,,,,,False,False,,,
,,,,,,,False,False,,,
Västmannagatan 86,,42.0,2.0,2328,,"Vasastan, Stockholms kommun",True,False,4950000,-3 %,117857
Döbelnsgatan 71A,,57.0,2.0,2795,,"Vasastan, Stockholms kommun",False,True,7500000,+12 %,131579
Högalidsgatan 38A,,58.0,2.0,2674,,"Södermalm - Högalid, Stockholms kommun",True,True,6600000,+10 %,113793
Sannadalsvägen 1,,62.0,2.0,4134,,"Gröndal, Stockholms kommun",True,True,4400000,,70968
Östermalmsgatan 35,,78.0,3.0,1218,,"Östermalm, Stockholms kommun",True,False,8550000,+13 %,109615
"Östgötagatan 36, 4 tr",,88.0,3.0,5592,,"Södermalm - Nytorget, Stockholms kommun",True,True,10600000,+12 %,120455
Götaforsvägen 25,,55.0,2.0,4555,,"Stureby, Stockholms kommun",False,True,2700000,-2 %,49091
"Eastmansvägen 11, 2tr",,104.0,4.5,4962,,"Vasastan, Stockholms kommun",True,False,12600000,+5 %,121154
"Hårdvallsgatan 11, 3tr",,97.0,4.0,6429,,"Norra Djurgårdsstaden, Stockholms kommun",True,True,9500000,±0 %,97938
"Lindhagensgatan 65, 1.5tr",,27.5,1.5,2119,,"Kungsholmen, Stockholms kommun",False,False,3000000,+16 %,109091
Götalandsvägen 231,,97.5,4.0,6839,,"Älvsjö, Stockholms kommun",True,True,4100000,+3 %,42051
Brännerigatan 5,,36.0,1.0,2352,,"Katarina, Stockholms kommun",True,True,3300000,+16 %,91667
